Denver,Portland,time_rem
2-1,1-2,48M 0S
2,0,47M 37S
2,2,47M 20S
2,4,46M 48S
2,7,46M 18S
5,7,45M 53S
5,10,45M 35S
7,10,45M 19S
7,12,44M 58S
8,12,44M 30S
9,12,44M 30S
9,14,44M 10S
9,16,43M 39S
9,18,43M 16S
12,18,43M 7S
12,20,42M 54S
15,20,42M 44S
15,21,42M 35S
15,22,42M 35S
17,22,42M 14S
17,24,42M 3S
20,24,41M 55S
20,26,41M 36S
22,26,40M 34S
24,26,40M 11S
26,26,39M 47S
29,26,39M 28S
31,26,37M 45S
34,26,37M 13S
34,27,36M 56S
36,27,36M 40S
36,30,36M 30S
39,30,36M 20S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
40,30,35M 33S
40,32,34M 30S
40,34,33M 50S
40,35,33M 50S
43,35,33M 36S
43,37,33M 19S
43,39,32M 34S
45,39,32M 20S
45,41,32M 2S
48,41,31M 34S
48,43,30M 49S
51,43,29M 25S
53,43,29M 1S
53,46,28M 37S
53,48,27M 59S
56,48,27M 51S
57,48,27M 51S
57,50,27M 30S
57,52,27M 6S
59,52,26M 53S
61,52,26M 23S
64,52,25M 47S
64,55,25M 12S
Jump ball: D. Lillard vs. A. Rivers (D. Lillard gains possession),NA,24M 31S
64,56,24M 31S
64,57,24M 31S
64,59,24M 10S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
64,62,23M 48S
66,62,22M 55S
69,62,22M 13S
69,64,20M 55S
72,64,20M 34S
75,64,19M 58S
75,66,19M 38S
75,68,17M 31S
75,70,16M 46S
75,72,15M 43S
76,72,15M 33S
77,72,15M 33S
77,75,14M 50S
78,75,14M 33S
79,75,14M 33S
79,77,14M 7S
80,77,13M 57S
81,77,13M 57S
82,77,13M 31S
82,79,13M 11S
83,79,12M 44S
84,79,12M 44S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
87,79,11M 7S
87,80,10M 16S
87,81,10M 16S
89,81,9M 57S
89,83,8M 58S
91,83,8M 17S
91,86,8M 2S
91,87,7M 30S
91,88,7M 30S
91,91,6M 56S
94,91,5M 43S
94,92,5M 30S
96,92,5M 17S
96,94,4M 53S
99,94,4M 31S
102,94,3M 49S
102,96,3M 32S
103,96,3M 8S
104,96,3M 8S
106,96,2M 42S
106,99,2M 29S
108,99,2M 13S
108,101,2M 2S
Jump ball: C. Anthony vs. N. Jokić (C. McCollum gains possession),NA,1M 45S
108,103,1M 38S
111,103,1M 24S
112,103,43S
113,103,43S
113,106,33S
114,106,30S
115,106,30S
115,109,24S
116,109,20S
116,112,13S
117,112,7S
118,112,7S
118,115,3S
120,115,1S
End of 4th quarter,NA,0S
