Memphis,Indiana,time_rem
9-7,12-9,48M 0S
0,3,47M 45S
0,6,47M 13S
2,6,46M 59S
2,9,46M 43S
3,9,46M 29S
4,9,46M 29S
4,11,46M 19S
6,11,45M 22S
6,13,45M 4S
6,16,44M 19S
8,16,44M 5S
9,16,44M 5S
9,18,43M 52S
10,18,43M 37S
11,18,43M 37S
Jump ball: D. Sabonis vs. D. Brooks (M. Brogdon gains possession),NA,43M 16S
11,19,43M 11S
11,20,43M 11S
13,20,42M 57S
13,22,42M 33S
15,22,41M 57S
15,25,41M 43S
15,27,40M 42S
15,29,40M 34S
18,29,39M 43S
18,31,39M 24S
18,33,38M 49S
21,33,37M 49S
23,33,37M 28S
23,35,36M 43S
24,35,36M 31S
25,35,36M 31S
27,35,36M 16S
27,37,36M 3S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
28,37,35M 44S
29,37,35M 44S
29,38,35M 35S
29,39,35M 35S
29,42,35M 1S
30,42,34M 22S
31,42,34M 22S
33,42,33M 57S
33,45,33M 33S
36,45,33M 4S
36,48,32M 39S
36,50,31M 29S
38,50,31M 6S
38,52,30M 56S
38,54,30M 36S
41,54,29M 58S
43,54,29M 34S
43,55,29M 7S
43,56,29M 7S
43,58,28M 44S
43,60,28M 3S
45,60,27M 44S
46,60,27M 44S
46,62,26M 56S
46,65,26M 24S
47,65,26M 10S
48,65,26M 10S
48,67,25M 1S
48,68,24M 46S
48,69,24M 46S
Jump ball: M. Turner vs. J. Morant (J. Lamb gains possession),NA,24M 30S
48,71,24M 7S
50,71,24M 1S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
53,71,23M 48S
53,74,23M 29S
53,77,23M 2S
55,77,22M 42S
57,77,22M 13S
57,79,21M 58S
59,79,21M 25S
61,79,20M 59S
61,82,20M 42S
63,82,20M 29S
63,84,20M 13S
63,87,19M 53S
64,87,19M 37S
65,87,19M 37S
65,90,18M 57S
68,90,18M 25S
68,92,17M 59S
70,92,17M 40S
70,94,17M 14S
72,94,17M 0S
74,94,15M 45S
76,94,15M 24S
76,96,15M 4S
76,98,14M 46S
77,98,14M 33S
80,98,14M 21S
80,100,14M 6S
80,102,13M 11S
80,103,12M 42S
80,104,12M 24S
82,104,12M 17S
83,104,12M 0S
84,104,12M 0S
85,104,12M 0S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
85,106,11M 48S
85,108,11M 25S
87,108,10M 50S
87,110,10M 30S
89,110,10M 10S
90,110,9M 40S
91,110,9M 40S
91,112,9M 27S
93,112,9M 6S
93,113,8M 57S
93,114,8M 26S
93,116,7M 49S
95,116,7M 32S
95,119,7M 20S
97,119,7M 6S
97,121,6M 51S
99,121,6M 27S
101,121,5M 48S
Jump ball: J. Konchar vs. A. Holiday (T. Jones gains possession),NA,5M 25S
101,123,5M 13S
101,124,4M 55S
102,124,4M 45S
102,125,4M 40S
102,126,4M 40S
102,127,4M 12S
102,130,3M 34S
104,130,2M 50S
104,131,2M 38S
104,132,2M 38S
106,132,2M 27S
106,133,2M 12S
108,133,1M 50S
111,133,1M 33S
114,133,1M 1S
114,134,45S
Jump ball: D. Bane vs. E. Sumner (D. Melton gains possession),NA,27S
116,134,21S
End of 4th quarter,NA,0S
