LA Clippers,Phoenix,time_rem
43-21,44-18,48M 0S
0,0,47M 42S
0,3,47M 32S
0,6,47M 0S
2,6,46M 48S
5,6,45M 55S
5,8,45M 32S
7,8,45M 14S
7,11,45M 1S
9,11,44M 46S
10,11,44M 46S
10,13,44M 16S
10,15,44M 0S
13,15,42M 46S
13,17,42M 29S
16,17,42M 16S
16,19,42M 6S
16,21,41M 49S
18,21,41M 30S
18,23,40M 48S
20,23,40M 34S
20,26,40M 20S
20,29,39M 43S
22,29,39M 23S
22,31,39M 3S
22,34,37M 57S
23,34,37M 39S
24,34,37M 39S
25,34,37M 39S
25,36,37M 27S
25,39,37M 6S
28,39,36M 49S
31,39,36M 21S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
31,41,35M 40S
34,41,35M 22S
34,44,35M 3S
37,44,34M 30S
37,46,33M 59S
39,46,33M 34S
39,48,32M 47S
39,50,32M 6S
39,52,31M 17S
39,53,31M 17S
41,53,30M 26S
42,53,29M 58S
44,53,28M 43S
46,53,27M 31S
49,53,27M 12S
49,55,27M 0S
49,56,27M 0S
51,56,26M 22S
51,59,26M 3S
51,61,25M 16S
51,63,24M 44S
53,63,24M 30S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
55,63,23M 30S
55,66,23M 18S
55,68,22M 36S
57,68,21M 21S
60,68,20M 53S
62,68,20M 28S
62,71,19M 39S
62,73,18M 46S
65,73,18M 34S
65,76,18M 3S
67,76,17M 45S
67,78,17M 31S
69,78,17M 12S
69,79,16M 58S
71,79,16M 43S
Jump ball: M. Morris vs. D. Ayton (N. Batum gains possession),NA,15M 58S
71,81,15M 21S
73,81,15M 11S
73,82,14M 23S
75,82,13M 34S
78,82,13M 5S
78,84,12M 40S
80,84,12M 32S
80,86,12M 7S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
82,86,11M 36S
82,89,10M 44S
84,89,9M 37S
85,89,9M 14S
86,89,9M 14S
86,91,8M 52S
88,91,7M 58S
90,91,7M 25S
90,93,6M 34S
92,93,6M 8S
92,95,5M 54S
92,97,5M 28S
92,99,4M 42S
94,99,4M 0S
94,101,3M 31S
94,103,2M 22S
96,103,2M 10S
96,104,1M 54S
96,105,1M 54S
98,105,1M 42S
98,106,50S
98,107,50S
98,108,39S
98,109,39S
101,109,19S
End of 4th quarter,NA,0S
