Charlotte,Portland,time_rem
16-18,19-14,48M 0S
2,0,47M 36S
2,3,47M 22S
4,3,47M 5S
4,5,46M 32S
4,7,46M 7S
7,7,45M 49S
7,9,45M 30S
10,9,44M 46S
12,9,44M 11S
12,11,43M 37S
15,11,43M 1S
15,14,42M 42S
15,17,41M 59S
17,17,41M 37S
19,17,41M 11S
21,17,40M 46S
23,17,40M 9S
26,17,39M 21S
26,19,39M 5S
26,20,39M 5S
28,20,38M 16S
31,20,37M 34S
31,23,37M 15S
33,23,37M 0S
33,24,36M 40S
33,27,36M 5S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
33,30,35M 52S
33,33,35M 22S
36,33,35M 1S
37,33,34M 33S
38,33,34M 33S
38,36,34M 16S
38,37,32M 29S
38,38,32M 29S
40,38,32M 8S
40,40,31M 59S
40,42,31M 33S
40,43,31M 33S
43,43,31M 11S
43,45,30M 54S
43,48,29M 48S
46,48,29M 25S
49,48,29M 7S
49,51,28M 42S
51,51,28M 26S
51,54,27M 32S
54,54,27M 12S
54,56,26M 19S
54,59,25M 43S
56,59,25M 16S
59,59,24M 25S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
59,61,23M 38S
59,63,22M 9S
61,63,21M 22S
61,65,21M 4S
61,68,20M 46S
63,68,20M 21S
63,69,19M 33S
65,69,19M 22S
65,71,18M 40S
67,71,18M 29S
67,73,17M 53S
69,73,17M 35S
69,76,17M 16S
71,76,17M 7S
71,78,16M 52S
73,78,16M 46S
74,78,16M 46S
74,80,16M 20S
75,80,15M 38S
76,80,15M 38S
76,81,15M 21S
78,81,15M 8S
78,83,14M 41S
78,85,14M 22S
78,87,13M 45S
81,87,13M 28S
81,89,12M 37S
81,92,12M 2S
82,92,12M 0S
83,92,12M 0S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
85,92,11M 23S
85,95,10M 46S
85,98,10M 4S
85,101,9M 50S
85,104,9M 25S
86,104,9M 9S
88,104,8M 33S
89,104,8M 33S
89,106,8M 11S
92,106,7M 55S
94,106,7M 38S
94,109,7M 8S
94,112,6M 40S
96,112,6M 26S
98,112,5M 57S
101,112,5M 24S
101,115,5M 6S
101,118,4M 24S
102,118,4M 8S
105,118,3M 49S
105,120,3M 33S
107,120,1M 54S
107,123,1M 32S
109,123,1M 23S
111,123,10S
End of 4th quarter,NA,0S
