LA Lakers,Portland,time_rem
37-30,38-29,48M 0S
0,0,47M 44S
0,2,47M 38S
3,2,47M 16S
3,5,46M 36S
3,7,45M 4S
4,7,44M 56S
5,7,44M 56S
6,7,44M 24S
6,9,44M 2S
6,11,43M 1S
6,14,42M 41S
9,14,40M 25S
9,15,40M 8S
9,16,40M 8S
10,16,39M 57S
10,19,39M 39S
10,22,39M 12S
12,22,38M 56S
15,22,38M 25S
15,24,38M 1S
18,24,37M 47S
18,26,37M 32S
18,29,37M 8S
20,29,36M 45S
20,32,36M 33S
20,33,36M 12S
20,34,36M 12S
22,34,36M 1S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
24,34,35M 3S
26,34,34M 24S
28,34,33M 56S
28,35,33M 41S
28,36,33M 41S
28,38,33M 3S
30,38,32M 30S
31,38,32M 30S
31,40,31M 48S
34,40,31M 6S
34,42,30M 52S
36,42,30M 34S
36,45,30M 17S
38,45,29M 56S
38,48,29M 37S
40,48,29M 21S
42,48,28M 21S
44,48,28M 3S
44,50,27M 33S
44,52,26M 56S
46,52,26M 42S
47,52,26M 42S
47,53,26M 26S
47,54,26M 26S
47,55,26M 26S
50,55,26M 12S
53,55,25M 42S
53,57,25M 29S
53,59,25M 4S
55,59,24M 39S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
58,59,23M 44S
58,61,23M 22S
60,61,23M 5S
60,64,22M 51S
62,64,21M 45S
64,64,21M 10S
67,64,20M 8S
67,66,19M 51S
67,67,19M 12S
67,68,19M 12S
69,68,18M 58S
71,68,18M 20S
71,70,18M 9S
73,70,17M 55S
73,72,17M 42S
73,74,15M 29S
73,76,15M 2S
74,76,14M 44S
75,76,14M 44S
75,77,13M 54S
75,78,13M 54S
77,78,13M 33S
77,80,13M 16S
78,80,12M 36S
78,82,12M 25S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
78,84,11M 48S
78,86,11M 2S
81,86,10M 12S
81,87,9M 49S
82,87,9M 42S
83,87,9M 42S
83,89,8M 25S
85,89,7M 21S
85,92,6M 1S
88,92,5M 8S
90,92,4M 41S
90,94,4M 22S
90,97,3M 51S
90,100,2M 47S
91,100,2M 30S
92,100,2M 30S
93,100,2M 6S
95,100,1M 34S
96,100,1M 10S
97,100,1M 10S
97,101,39S
97,102,39S
99,102,34S
99,103,27S
99,104,27S
99,105,11S
99,106,11S
101,106,2S
End of 4th quarter,NA,0S
