LA Lakers,Utah,time_rem
22-11,26-6,48M 0S
0,0,47M 41S
0,3,47M 29S
0,5,47M 15S
2,5,46M 14S
2,7,45M 58S
4,7,45M 48S
6,7,45M 26S
6,10,44M 40S
9,10,44M 21S
9,13,44M 3S
10,13,43M 49S
11,13,43M 49S
13,13,42M 49S
15,13,41M 50S
17,13,41M 20S
17,16,41M 6S
17,19,40M 8S
19,19,39M 33S
19,21,39M 17S
21,21,38M 29S
21,24,37M 35S
23,24,37M 15S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
23,26,35M 13S
25,26,34M 49S
25,29,34M 23S
25,32,33M 57S
25,35,33M 31S
28,35,33M 14S
28,38,32M 19S
28,41,31M 54S
30,41,31M 39S
31,41,30M 45S
32,41,30M 45S
32,43,30M 27S
32,45,29M 55S
32,48,29M 25S
34,48,29M 5S
34,49,28M 45S
34,51,28M 16S
36,51,27M 51S
36,52,27M 43S
38,52,27M 28S
38,55,26M 53S
41,55,26M 36S
44,55,26M 9S
44,58,25M 50S
47,58,25M 29S
47,60,25M 12S
47,62,24M 34S
47,63,24M 34S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
47,66,23M 33S
47,67,23M 0S
47,69,22M 52S
47,71,22M 23S
48,71,21M 58S
50,71,21M 44S
51,71,21M 20S
53,71,20M 42S
53,73,20M 27S
53,74,19M 42S
53,75,19M 42S
53,77,19M 13S
54,77,18M 53S
56,77,18M 24S
57,77,18M 24S
57,79,17M 31S
57,81,17M 2S
57,83,16M 31S
60,83,16M 15S
60,86,14M 41S
62,86,14M 17S
62,88,13M 59S
63,88,12M 45S
64,88,12M 45S
64,89,12M 6S
64,90,12M 6S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
66,90,11M 28S
68,90,10M 54S
68,93,10M 6S
69,93,9M 40S
70,93,9M 40S
72,93,8M 47S
72,95,8M 18S
74,95,7M 58S
74,98,7M 41S
76,98,6M 59S
76,101,6M 46S
76,102,5M 7S
76,105,3M 49S
78,105,3M 29S
78,106,3M 19S
80,106,3M 5S
83,106,2M 9S
84,106,1M 29S
87,106,1M 14S
87,109,57S
87,112,41S
87,114,15S
89,114,2S
End of 4th quarter,NA,0S
