Brooklyn,Boston,time_rem
3-1,1-3,48M 0S
0,3,47M 38S
0,6,46M 54S
1,6,46M 37S
2,6,46M 37S
3,6,46M 37S
3,7,46M 30S
3,8,46M 30S
5,8,46M 8S
5,11,45M 53S
7,11,45M 43S
7,12,45M 32S
7,13,45M 32S
7,15,45M 5S
8,15,44M 56S
9,15,44M 56S
9,17,44M 19S
11,17,44M 3S
11,18,43M 44S
11,19,43M 44S
12,19,43M 35S
13,19,43M 35S
13,21,42M 54S
15,21,42M 7S
15,23,41M 53S
15,24,41M 53S
17,24,41M 39S
20,24,41M 20S
20,26,41M 4S
20,27,41M 4S
22,27,40M 49S
23,27,40M 49S
24,27,40M 34S
25,27,40M 34S
26,27,39M 45S
27,27,39M 45S
27,28,39M 30S
27,29,39M 30S
29,29,39M 20S
29,31,37M 58S
29,33,37M 39S
30,33,36M 29S
31,33,36M 29S
31,34,36M 8S
33,34,36M 3S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
35,34,35M 41S
38,34,35M 3S
38,37,34M 20S
40,37,33M 46S
42,37,33M 11S
45,37,32M 35S
45,39,32M 16S
45,40,32M 16S
47,40,31M 54S
49,40,31M 31S
49,41,31M 10S
49,42,31M 10S
51,42,30M 53S
51,43,30M 40S
51,44,30M 40S
54,44,30M 19S
54,47,30M 3S
56,47,29M 38S
57,47,28M 45S
59,47,28M 14S
59,48,28M 8S
59,49,28M 8S
62,49,27M 37S
62,52,26M 56S
64,52,26M 39S
64,54,26M 27S
66,54,25M 59S
66,55,25M 39S
68,55,25M 15S
71,55,24M 37S
71,57,24M 29S
73,57,24M 8S
73,60,24M 0S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
75,60,23M 48S
75,61,23M 36S
76,61,23M 12S
77,61,23M 12S
78,61,23M 12S
78,64,23M 4S
81,64,22M 10S
81,65,21M 51S
81,66,21M 51S
84,66,21M 37S
Jump ball: B. Griffin vs. T. Thompson (J. Harris gains possession),NA,21M 20S
84,68,20M 53S
86,68,19M 25S
88,68,19M 10S
88,70,18M 51S
89,70,18M 29S
90,70,18M 29S
92,70,18M 9S
93,70,17M 51S
94,70,17M 51S
94,72,17M 28S
96,72,17M 5S
96,74,16M 54S
96,75,16M 54S
97,75,16M 37S
98,75,16M 37S
98,77,16M 24S
100,77,16M 8S
103,77,15M 41S
103,78,14M 48S
103,79,14M 48S
105,79,14M 28S
105,81,14M 13S
106,81,13M 58S
107,81,13M 58S
107,82,13M 39S
107,83,13M 39S
110,83,13M 20S
110,85,13M 6S
112,85,12M 43S
112,88,12M 33S
112,91,12M 3S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
115,91,11M 28S
118,91,11M 0S
118,93,10M 38S
118,95,10M 8S
121,95,9M 49S
121,98,9M 18S
121,101,8M 39S
121,102,8M 7S
121,103,8M 7S
124,103,7M 50S
127,103,7M 23S
127,105,7M 12S
127,107,6M 46S
129,107,6M 27S
130,107,5M 55S
131,107,5M 55S
131,109,5M 45S
133,109,5M 31S
133,112,5M 17S
133,113,4M 40S
133,114,4M 40S
133,115,3M 38S
133,116,3M 38S
135,116,3M 13S
135,118,3M 5S
137,118,2M 49S
137,121,2M 31S
137,122,2M 3S
137,123,2M 3S
140,123,1M 45S
140,124,1M 34S
140,125,1M 34S
141,125,55S
141,126,53S
End of 4th quarter,NA,0S
