Houston,Dallas,time_rem
6-9,8-8,48M 0S
0,0,47M 36S
2,0,47M 32S
3,0,47M 32S
3,2,47M 16S
5,2,47M 6S
5,3,46M 37S
8,3,46M 10S
9,3,45M 41S
11,3,44M 54S
13,3,44M 14S
13,5,43M 59S
16,5,43M 47S
16,7,43M 20S
19,7,43M 7S
19,9,42M 49S
21,9,42M 35S
21,10,42M 17S
23,10,41M 27S
25,10,40M 30S
26,10,39M 58S
26,12,39M 34S
26,15,39M 12S
29,15,38M 56S
29,17,38M 43S
30,17,38M 32S
31,17,38M 32S
31,18,38M 17S
31,19,38M 17S
33,19,37M 54S
33,21,37M 36S
36,21,37M 24S
36,23,37M 6S
36,25,36M 35S
38,25,36M 12S
38,27,36M 2S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
40,27,35M 26S
40,28,35M 15S
40,29,35M 15S
40,30,34M 43S
40,31,34M 43S
42,31,34M 5S
45,31,33M 40S
45,32,33M 23S
45,33,33M 23S
48,33,33M 12S
48,34,32M 30S
48,35,32M 30S
48,38,32M 5S
50,38,31M 39S
50,39,31M 25S
50,40,31M 25S
53,40,31M 13S
54,40,30M 12S
55,40,30M 12S
55,42,29M 54S
58,42,29M 31S
58,44,29M 16S
59,44,29M 7S
59,46,28M 50S
59,47,28M 9S
59,48,28M 9S
60,48,27M 55S
61,48,27M 55S
61,51,27M 43S
64,51,27M 12S
64,52,26M 24S
64,53,26M 24S
66,53,26M 5S
68,53,25M 34S
68,55,25M 1S
68,56,25M 1S
70,56,24M 12S
70,57,24M 1S
70,59,24M 0S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
70,61,23M 44S
70,63,22M 15S
70,64,21M 48S
70,65,21M 48S
72,65,21M 14S
72,67,20M 55S
74,67,20M 35S
74,69,20M 20S
74,71,19M 51S
77,71,18M 59S
77,73,18M 37S
78,73,18M 24S
80,73,17M 43S
83,73,17M 15S
83,75,16M 59S
86,75,16M 38S
86,77,16M 12S
89,77,15M 56S
89,80,15M 11S
90,80,14M 59S
91,80,14M 59S
91,82,14M 45S
93,82,14M 34S
95,82,14M 10S
97,82,13M 46S
97,83,13M 28S
98,83,13M 15S
99,83,13M 15S
101,83,12M 44S
102,83,12M 44S
104,83,12M 18S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
106,83,11M 48S
109,83,11M 8S
109,86,10M 49S
109,87,10M 21S
109,88,10M 21S
109,89,10M 3S
109,91,9M 42S
111,91,8M 57S
111,93,8M 39S
111,95,8M 1S
113,95,7M 42S
115,95,7M 2S
115,97,6M 48S
116,97,5M 27S
117,97,5M 27S
117,99,5M 7S
118,99,4M 54S
119,99,4M 54S
119,101,4M 33S
121,101,4M 18S
123,101,3M 56S
124,101,3M 29S
125,101,3M 29S
125,102,3M 9S
126,102,2M 51S
126,103,2M 18S
126,104,1M 41S
128,104,1M 19S
128,106,1M 11S
131,106,50S
133,106,18S
133,108,11S
End of 4th quarter,NA,0S
