Dallas,Portland,time_rem
21-19,25-16,48M 0S
0,0,47M 46S
0,3,47M 37S
3,3,47M 24S
3,5,46M 2S
6,5,45M 42S
9,5,45M 11S
9,7,44M 19S
9,8,44M 19S
11,8,44M 6S
11,11,43M 45S
11,13,43M 23S
14,13,43M 11S
14,16,42M 55S
14,19,42M 23S
14,21,42M 5S
16,21,41M 57S
16,24,41M 45S
17,24,41M 31S
18,24,41M 31S
18,27,40M 55S
21,27,40M 35S
21,30,40M 19S
23,30,40M 7S
26,30,38M 54S
28,30,38M 26S
30,30,37M 21S
30,31,37M 5S
30,32,37M 5S
33,32,36M 44S
33,35,36M 31S
33,37,36M 0S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
36,37,35M 11S
38,37,34M 31S
38,40,34M 15S
38,42,33M 13S
40,42,32M 53S
42,42,32M 28S
42,44,32M 10S
43,44,31M 52S
44,44,31M 52S
44,47,31M 36S
47,47,31M 14S
47,48,30M 16S
47,50,29M 3S
47,52,28M 26S
47,53,28M 26S
49,53,28M 10S
49,54,28M 10S
49,56,27M 48S
52,56,27M 30S
52,58,27M 18S
53,58,27M 4S
56,58,26M 34S
56,60,25M 54S
56,61,25M 19S
56,62,25M 19S
58,62,24M 45S
60,62,24M 7S
60,63,24M 3S
60,64,24M 3S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
60,67,23M 44S
63,67,23M 27S
63,69,23M 4S
65,69,22M 48S
65,72,22M 38S
68,72,21M 56S
69,72,21M 27S
70,72,21M 27S
70,75,21M 16S
73,75,20M 39S
76,75,20M 16S
76,77,19M 57S
76,79,19M 13S
78,79,18M 51S
78,82,18M 41S
80,82,18M 27S
82,82,18M 3S
82,84,17M 18S
84,84,17M 1S
84,86,16M 43S
86,86,15M 56S
87,86,15M 19S
88,86,15M 19S
91,86,14M 37S
92,86,13M 49S
93,86,13M 49S
93,87,13M 5S
95,87,12M 39S
95,90,12M 31S
97,90,12M 11S
98,90,12M 11S
98,93,12M 0S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
101,93,11M 39S
101,96,10M 41S
103,96,9M 50S
103,98,9M 33S
105,98,9M 20S
105,101,8M 32S
107,101,8M 4S
107,104,7M 21S
107,106,6M 18S
110,106,5M 59S
110,109,4M 28S
110,111,4M 4S
110,113,3M 24S
110,115,2M 51S
112,115,2M 36S
112,118,1M 17S
114,118,1M 11S
114,121,33S
114,122,15S
114,123,15S
117,123,8S
117,124,5S
117,125,5S
119,125,2S
End of 4th quarter,NA,0S
