Phoenix,Denver,time_rem
5-1,1-4,48M 0S
0,0,47M 48S
0,2,47M 42S
2,2,47M 22S
4,2,46M 47S
4,3,46M 29S
4,4,46M 29S
4,6,46M 2S
4,9,45M 14S
6,9,44M 52S
9,9,43M 43S
9,12,43M 30S
9,14,43M 7S
11,14,42M 55S
11,17,42M 38S
14,17,42M 20S
14,19,42M 13S
14,20,41M 36S
14,21,41M 36S
17,21,41M 22S
17,23,40M 56S
17,25,40M 42S
20,25,40M 18S
22,25,39M 14S
22,27,39M 10S
25,27,38M 38S
28,27,37M 59S
28,30,37M 19S
29,30,37M 2S
30,30,37M 2S
31,30,37M 2S
31,32,36M 45S
34,32,36M 37S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
35,32,35M 30S
36,32,35M 30S
36,35,35M 11S
38,35,34M 28S
38,37,34M 6S
40,37,33M 56S
42,37,33M 23S
45,37,32M 7S
47,37,30M 40S
49,37,30M 12S
50,37,30M 12S
51,37,29M 36S
52,37,29M 36S
52,39,29M 18S
52,40,29M 1S
52,42,28M 15S
52,44,27M 50S
54,44,27M 29S
56,44,26M 13S
58,44,25M 11S
58,45,24M 59S
58,46,24M 59S
58,47,24M 48S
59,47,24M 48S
60,47,24M 48S
60,49,24M 35S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
60,52,23M 45S
63,52,22M 59S
63,54,22M 39S
63,56,22M 16S
65,56,22M 4S
65,59,21M 48S
67,59,21M 1S
68,59,20M 31S
69,59,20M 31S
69,62,20M 22S
71,62,19M 54S
73,62,19M 25S
74,62,19M 25S
74,64,19M 11S
74,66,18M 26S
76,66,17M 46S
78,66,17M 14S
80,66,16M 5S
80,67,15M 49S
80,68,15M 49S
83,68,15M 33S
83,71,15M 18S
84,71,15M 2S
87,71,14M 17S
87,73,13M 38S
87,75,12M 46S
87,76,12M 27S
87,77,12M 27S
87,78,12M 0S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
89,78,10M 44S
89,80,9M 49S
92,80,9M 37S
92,82,9M 19S
94,82,8M 59S
94,84,8M 10S
94,86,6M 18S
94,89,5M 35S
95,89,5M 12S
95,91,4M 34S
95,93,3M 46S
97,93,3M 28S
97,95,3M 10S
97,98,2M 41S
98,98,2M 21S
99,98,2M 21S
102,98,1M 37S
102,100,59S
104,100,7S
104,103,5S
105,103,2S
106,103,2S
End of 4th quarter,NA,0S
