Sacramento,Charlotte,time_rem
15-24,20-18,48M 0S
0,0,47M 46S
2,0,46M 57S
2,1,46M 47S
4,1,46M 36S
5,1,46M 36S
5,3,46M 20S
7,3,46M 9S
9,3,45M 45S
9,5,45M 32S
11,5,44M 54S
11,8,44M 47S
13,8,44M 34S
13,10,44M 20S
15,10,44M 10S
15,13,43M 55S
17,13,43M 28S
17,15,43M 23S
19,15,43M 2S
19,18,42M 42S
21,18,42M 28S
23,18,42M 7S
26,18,41M 26S
26,21,40M 49S
28,21,40M 27S
30,21,39M 45S
32,21,39M 18S
32,23,39M 9S
32,25,38M 49S
35,25,37M 30S
35,27,37M 2S
37,27,36M 49S
37,29,36M 35S
37,32,36M 1S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
39,32,35M 23S
39,34,35M 9S
39,35,34M 36S
39,37,34M 6S
42,37,33M 35S
42,39,33M 28S
42,40,33M 10S
42,41,33M 10S
44,41,32M 37S
44,43,32M 3S
45,43,31M 49S
47,43,31M 40S
48,43,30M 26S
49,43,30M 26S
49,45,30M 9S
51,45,29M 47S
51,46,29M 29S
51,47,29M 29S
51,48,29M 29S
53,48,29M 14S
53,49,29M 6S
53,50,29M 6S
55,50,28M 53S
55,52,28M 41S
56,52,28M 21S
57,52,28M 21S
57,54,28M 0S
60,54,27M 15S
61,54,26M 52S
61,57,26M 32S
63,57,26M 10S
64,57,25M 35S
65,57,25M 35S
67,57,24M 58S
67,58,24M 47S
67,61,24M 33S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
67,63,23M 43S
69,63,23M 29S
69,65,23M 20S
71,65,23M 13S
72,65,23M 13S
74,65,22M 56S
76,65,22M 20S
79,65,21M 44S
79,67,21M 26S
82,67,21M 17S
82,69,20M 54S
82,70,20M 54S
82,72,20M 13S
82,75,18M 55S
84,75,18M 37S
86,75,18M 10S
86,78,17M 4S
89,78,15M 46S
89,80,14M 56S
91,80,14M 13S
91,82,13M 50S
91,85,13M 19S
91,87,12M 55S
91,88,12M 55S
94,88,12M 34S
94,90,12M 20S
94,91,12M 12S
96,91,12M 1S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
98,91,11M 25S
98,93,11M 7S
100,93,10M 49S
100,95,10M 37S
102,95,9M 54S
102,97,9M 29S
102,99,9M 2S
104,99,8M 46S
104,101,7M 36S
106,101,6M 53S
108,101,5M 38S
108,103,5M 8S
110,103,4M 34S
110,104,4M 26S
110,105,4M 26S
110,108,3M 45S
110,110,3M 4S
111,110,2M 47S
111,112,1M 33S
111,113,1M 33S
113,113,1M 2S
113,116,54S
113,117,26S
113,118,26S
113,119,15S
113,120,15S
116,120,8S
116,122,3S
End of 4th quarter,NA,0S
