Brooklyn,Miami,time_rem
38-19,29-28,48M 0S
0,3,47M 44S
3,3,47M 26S
3,5,47M 6S
6,5,46M 52S
8,5,45M 17S
8,8,44M 57S
8,11,43M 58S
8,14,42M 42S
10,14,42M 20S
10,16,41M 28S
13,16,41M 20S
13,19,40M 18S
16,19,40M 7S
19,19,39M 42S
19,22,39M 27S
21,22,39M 9S
21,25,38M 54S
21,26,38M 25S
21,27,38M 25S
24,27,38M 9S
24,30,37M 56S
26,30,37M 7S
29,30,36M 45S
31,30,36M 17S
31,31,36M 1S
31,32,36M 1S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
31,34,35M 36S
33,34,35M 12S
35,34,34M 6S
35,36,33M 36S
35,39,33M 11S
35,42,32M 23S
37,42,31M 34S
37,43,31M 15S
37,44,31M 15S
38,44,31M 7S
39,44,31M 7S
41,44,30M 41S
44,44,30M 3S
44,46,29M 48S
47,46,29M 28S
47,48,29M 14S
50,48,28M 58S
50,51,28M 37S
53,51,28M 23S
53,52,28M 7S
53,53,28M 7S
53,55,27M 31S
54,55,27M 10S
54,56,26M 59S
54,57,26M 59S
54,60,26M 32S
55,60,26M 22S
56,60,26M 22S
56,61,26M 16S
56,62,26M 16S
58,62,26M 0S
58,64,25M 34S
60,64,24M 24S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
62,64,23M 46S
65,64,23M 5S
68,64,22M 35S
68,67,22M 13S
70,67,21M 50S
70,69,21M 17S
70,71,20M 25S
70,72,20M 25S
72,72,19M 19S
72,74,19M 8S
75,74,18M 53S
77,74,18M 10S
79,74,16M 36S
79,75,15M 27S
79,76,15M 27S
79,79,14M 51S
79,81,14M 10S
81,81,13M 54S
81,83,13M 40S
81,84,13M 40S
83,84,13M 19S
84,84,12M 32S
84,86,12M 2S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
84,87,11M 49S
85,87,11M 33S
86,87,11M 33S
86,89,10M 0S
87,89,9M 44S
88,89,9M 44S
90,89,8M 48S
90,91,8M 30S
90,94,7M 59S
92,94,7M 41S
92,97,7M 26S
92,99,6M 50S
94,99,6M 34S
97,99,5M 32S
100,99,4M 58S
103,99,4M 34S
105,99,4M 4S
105,101,3M 52S
106,101,3M 31S
107,101,3M 31S
107,103,3M 20S
107,105,1M 48S
107,107,43S
107,109,0S
End of 4th quarter,NA,0S
