Boston,Cleveland,time_rem
35-35,22-48,48M 0S
0,0,47M 46S
0,2,47M 19S
0,5,46M 55S
1,5,46M 40S
2,5,46M 40S
2,6,46M 7S
4,6,45M 5S
4,8,44M 43S
6,8,44M 28S
6,9,44M 17S
6,11,42M 59S
8,11,42M 41S
11,11,42M 5S
11,13,41M 21S
11,15,40M 57S
11,17,39M 12S
11,18,39M 12S
11,20,38M 38S
11,22,37M 38S
13,22,37M 27S
14,22,37M 2S
17,22,36M 35S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
17,23,34M 53S
17,24,34M 53S
20,24,34M 15S
20,26,33M 56S
20,28,33M 30S
23,28,33M 20S
23,30,33M 4S
25,30,32M 53S
27,30,32M 14S
29,30,30M 10S
29,32,29M 47S
29,33,29M 19S
29,34,29M 19S
29,36,28M 57S
29,37,28M 33S
29,38,28M 33S
31,38,28M 17S
31,40,27M 59S
31,42,27M 9S
33,42,26M 25S
35,42,25M 43S
37,42,25M 15S
39,42,24M 7S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
42,42,23M 47S
45,42,23M 15S
45,45,22M 23S
45,46,21M 39S
47,46,21M 32S
47,49,21M 21S
50,49,20M 45S
50,51,20M 19S
51,51,19M 3S
53,51,18M 41S
53,52,18M 17S
53,53,18M 17S
53,55,17M 40S
55,55,17M 29S
56,55,17M 29S
56,57,17M 9S
56,58,16M 48S
56,59,16M 48S
56,61,16M 27S
58,61,16M 4S
60,61,15M 12S
63,61,14M 46S
63,63,14M 19S
65,63,13M 59S
66,63,13M 59S
66,65,13M 42S
66,66,13M 13S
66,67,13M 13S
69,67,12M 51S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
69,69,11M 11S
72,69,10M 12S
72,71,9M 49S
72,74,9M 26S
72,77,7M 52S
72,80,7M 25S
73,80,6M 24S
74,80,6M 24S
74,81,6M 8S
74,83,5M 21S
76,83,4M 57S
76,86,4M 50S
76,89,4M 24S
78,89,3M 45S
78,91,3M 31S
80,91,3M 22S
80,93,3M 0S
83,93,2M 47S
83,95,2M 30S
84,95,2M 24S
86,95,2M 2S
86,97,1M 8S
88,97,57S
88,98,55S
88,99,55S
89,99,43S
89,100,39S
89,101,39S
92,101,31S
92,102,25S
94,102,22S
End of 4th quarter,NA,0S
