LA Clippers,Utah,time_rem
0-2,2-0,48M 0S
0,2,47M 46S
2,2,47M 32S
2,4,47M 22S
2,7,46M 59S
2,10,46M 18S
4,10,44M 58S
4,12,44M 46S
6,12,44M 27S
7,12,44M 27S
7,13,44M 13S
7,15,43M 25S
9,15,43M 7S
12,15,42M 38S
12,17,42M 15S
14,17,41M 47S
14,20,41M 25S
14,22,41M 3S
16,22,40M 48S
16,24,40M 29S
18,24,39M 34S
19,24,39M 13S
21,24,38M 45S
22,24,37M 56S
22,26,37M 30S
23,26,37M 11S
23,27,37M 4S
26,27,36M 34S
26,30,36M 16S
29,30,36M 0S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
29,33,35M 10S
31,33,34M 37S
31,35,33M 52S
31,37,32M 59S
33,37,32M 44S
33,39,32M 27S
35,39,32M 8S
35,42,31M 34S
36,42,31M 21S
37,42,31M 21S
40,42,30M 54S
40,45,30M 43S
42,45,30M 32S
42,47,30M 8S
44,47,29M 49S
46,47,29M 14S
46,48,29M 0S
46,49,28M 33S
46,50,28M 33S
48,50,28M 15S
48,52,27M 50S
49,52,27M 41S
50,52,27M 41S
50,53,27M 16S
50,54,27M 16S
50,57,25M 48S
50,60,25M 19S
53,60,25M 5S
53,62,24M 50S
53,63,24M 36S
53,66,24M 7S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
55,66,23M 32S
55,68,23M 11S
55,71,22M 36S
55,74,21M 53S
55,76,21M 27S
56,76,21M 15S
57,76,21M 15S
60,76,20M 48S
62,76,20M 12S
64,76,19M 45S
Jump ball: I. Zubac vs. D. Mitchell (K. Leonard gains possession),NA,18M 54S
67,76,18M 11S
67,79,17M 56S
69,79,17M 34S
69,82,17M 17S
70,82,16M 57S
71,82,16M 57S
73,82,16M 36S
74,82,16M 36S
76,82,15M 33S
78,82,15M 4S
78,85,14M 50S
80,85,14M 34S
81,85,14M 34S
81,88,14M 11S
81,91,13M 28S
83,91,13M 13S
83,92,13M 7S
83,93,13M 7S
85,93,12M 55S
86,93,12M 55S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
87,93,11M 45S
88,93,11M 45S
91,93,11M 39S
91,95,10M 50S
93,95,9M 16S
93,97,8M 28S
95,97,7M 37S
95,99,7M 12S
98,99,6M 55S
101,99,6M 37S
101,101,6M 26S
101,104,5M 55S
102,104,5M 35S
103,104,5M 35S
103,106,4M 52S
103,107,4M 52S
103,110,4M 12S
103,113,3M 7S
Jump ball: B. Bogdanović vs. K. Leonard (D. Mitchell gains possession),NA,2M 53S
105,113,1M 30S
107,113,59S
108,113,59S
108,115,43S
108,116,12S
111,116,8S
111,117,5S
End of 4th quarter,NA,0S
