Golden State,Dallas,time_rem
12-11,10-14,48M 0S
0,0,47M 40S
0,2,46M 41S
0,3,46M 41S
0,5,46M 12S
2,5,46M 2S
2,7,45M 42S
2,10,45M 25S
2,11,45M 2S
2,12,45M 2S
2,15,44M 1S
2,18,43M 26S
5,18,42M 51S
6,18,42M 51S
7,18,41M 27S
9,18,41M 16S
12,18,40M 56S
12,21,40M 41S
12,23,40M 16S
15,23,39M 56S
17,23,39M 41S
17,25,39M 28S
18,25,39M 15S
19,25,39M 15S
21,25,38M 52S
21,26,38M 30S
21,27,38M 30S
21,28,38M 13S
24,28,37M 38S
24,29,37M 24S
24,30,37M 24S
27,30,37M 3S
27,32,36M 48S
29,32,36M 37S
29,35,36M 32S
30,35,36M 12S
31,35,36M 12S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
31,37,35M 33S
33,37,34M 51S
33,39,34M 24S
33,40,33M 20S
33,41,33M 20S
33,42,33M 20S
35,42,33M 7S
36,42,33M 7S
36,45,32M 51S
38,45,32M 31S
39,45,32M 5S
39,47,31M 51S
39,49,31M 3S
41,49,30M 46S
41,51,30M 16S
44,51,29M 32S
45,51,29M 9S
46,51,29M 9S
46,52,28M 48S
46,53,28M 48S
49,53,28M 37S
49,54,28M 27S
49,57,27M 48S
51,57,27M 34S
51,58,27M 21S
54,58,27M 12S
54,60,26M 51S
56,60,26M 9S
56,63,25M 54S
56,65,25M 29S
58,65,25M 15S
58,67,25M 1S
61,67,24M 49S
61,70,24M 33S
64,70,24M 16S
64,72,24M 1S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
66,72,23M 21S
66,74,22M 54S
69,74,22M 44S
69,77,22M 28S
69,80,22M 11S
71,80,21M 54S
74,80,21M 26S
74,83,21M 3S
77,83,20M 50S
78,83,20M 21S
79,83,20M 21S
80,83,20M 21S
80,85,20M 11S
80,86,20M 11S
82,86,20M 1S
85,86,19M 35S
85,87,19M 26S
85,88,19M 26S
86,88,19M 17S
88,88,18M 43S
88,89,18M 13S
88,90,18M 13S
88,92,17M 23S
90,92,17M 2S
90,95,16M 48S
93,95,16M 31S
96,95,16M 11S
96,96,15M 30S
96,97,15M 30S
98,97,13M 15S
98,100,13M 0S
101,100,12M 54S
101,101,12M 31S
101,102,12M 31S
101,103,12M 31S
101,106,12M 2S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
101,108,11M 25S
103,108,11M 2S
103,110,10M 30S
103,113,10M 9S
106,113,8M 58S
108,113,8M 28S
108,115,8M 10S
108,118,7M 9S
110,118,6M 56S
113,118,5M 53S
114,118,5M 25S
115,118,5M 25S
115,121,5M 11S
117,121,4M 54S
118,121,4M 54S
118,123,4M 42S
118,126,4M 21S
119,126,3M 52S
120,126,3M 52S
120,128,2M 49S
122,128,2M 30S
124,128,2M 2S
124,131,44S
127,131,39S
129,131,28S
130,131,28S
130,134,6S
132,134,0S
End of 4th quarter,NA,0S
