Atlanta,Philadelphia,time_rem
34-30,42-21,48M 0S
0,0,47M 48S
0,2,47M 28S
2,2,46M 55S
4,2,46M 31S
6,2,46M 8S
8,2,45M 18S
11,2,43M 58S
13,2,43M 21S
13,4,42M 57S
13,5,42M 14S
13,6,42M 14S
15,6,42M 2S
17,6,41M 35S
17,8,41M 19S
18,8,40M 45S
19,8,40M 45S
21,8,40M 15S
21,10,40M 0S
21,12,39M 35S
21,14,39M 2S
21,16,38M 39S
24,16,38M 17S
24,19,38M 0S
24,20,38M 0S
26,20,37M 37S
26,22,37M 17S
Jump ball: S. Milton vs. D. Gallinari (K. Dunn gains possession),NA,36M 57S
26,23,36M 41S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
26,25,35M 46S
26,27,35M 4S
27,27,34M 42S
28,27,34M 42S
28,29,34M 17S
28,30,33M 57S
28,31,33M 57S
28,33,33M 7S
31,33,32M 39S
31,35,32M 22S
31,37,31M 41S
31,38,31M 41S
34,38,31M 23S
34,40,29M 38S
34,41,29M 14S
34,42,29M 14S
34,45,28M 47S
37,45,28M 31S
37,46,28M 23S
37,47,28M 23S
37,49,27M 59S
37,52,27M 12S
39,52,26M 54S
40,52,26M 54S
40,53,26M 36S
40,54,26M 36S
42,54,26M 24S
42,56,26M 13S
42,58,25M 56S
42,59,25M 56S
42,61,25M 7S
42,63,24M 42S
43,63,24M 29S
44,63,24M 29S
44,65,24M 8S
45,65,24M 3S
46,65,24M 3S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
46,66,23M 46S
46,67,23M 46S
46,69,22M 37S
48,69,21M 51S
48,72,21M 15S
50,72,20M 57S
52,72,20M 3S
52,74,19M 43S
52,75,19M 25S
52,77,19M 9S
52,78,18M 57S
53,78,18M 57S
54,78,18M 57S
54,81,18M 39S
55,81,18M 26S
56,81,18M 26S
58,81,17M 44S
61,81,17M 17S
61,84,16M 43S
62,84,15M 52S
63,84,15M 52S
63,86,15M 41S
66,86,15M 33S
66,87,15M 0S
66,88,15M 0S
68,88,14M 46S
68,90,14M 26S
70,90,14M 15S
71,90,14M 15S
71,92,13M 0S
74,92,12M 50S
74,94,12M 38S
75,94,12M 33S
76,94,12M 33S
77,94,12M 0S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
79,94,11M 51S
79,97,11M 34S
82,97,10M 38S
82,99,10M 23S
84,99,10M 14S
84,101,9M 59S
84,103,9M 20S
84,105,8M 57S
86,105,8M 46S
88,105,8M 18S
88,107,8M 4S
88,108,8M 4S
88,111,7M 38S
91,111,7M 20S
91,113,6M 49S
91,115,6M 23S
93,115,5M 12S
94,115,4M 36S
95,115,4M 36S
95,117,4M 24S
97,117,4M 11S
97,120,4M 0S
99,120,3M 47S
99,123,3M 35S
100,123,2M 50S
102,123,2M 23S
102,125,1M 21S
102,126,1M 4S
104,126,32S
End of 4th quarter,NA,0S
