Golden State,San Antonio,time_rem
12-12,14-10,48M 0S
0,0,47M 43S
3,0,47M 19S
4,0,46M 51S
4,3,46M 35S
4,5,46M 5S
7,5,45M 53S
7,7,45M 37S
10,7,45M 4S
10,9,44M 20S
10,10,43M 38S
10,11,43M 38S
13,11,42M 59S
16,11,42M 33S
16,13,41M 53S
18,13,41M 44S
18,14,41M 33S
18,15,41M 33S
18,18,40M 57S
20,18,40M 34S
20,20,39M 47S
21,20,38M 48S
22,20,38M 48S
24,20,38M 16S
24,23,37M 58S
27,23,37M 41S
27,25,37M 21S
29,25,37M 12S
31,25,36M 56S
33,25,36M 37S
33,27,36M 13S
36,27,36M 0S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
36,30,34M 29S
36,31,34M 0S
38,31,33M 48S
Jump ball: M. Mulder vs. D. Eubanks (D. Lee gains possession),NA,33M 22S
40,31,33M 19S
42,31,32M 45S
45,31,32M 25S
45,33,32M 14S
45,35,31M 27S
47,35,31M 3S
47,36,30M 53S
47,37,30M 53S
47,40,29M 51S
47,42,28M 56S
49,42,28M 39S
49,44,28M 23S
51,44,28M 12S
51,46,27M 57S
51,48,27M 27S
51,50,26M 54S
53,50,26M 31S
54,50,26M 31S
54,52,26M 15S
54,54,25M 49S
56,54,25M 36S
59,54,24M 46S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
61,54,23M 41S
61,56,23M 22S
61,58,22M 46S
64,58,22M 32S
64,60,21M 44S
64,63,21M 29S
64,65,20M 35S
66,65,20M 20S
66,67,19M 54S
66,68,19M 35S
66,69,19M 35S
66,70,18M 53S
68,70,18M 34S
68,72,17M 38S
70,72,17M 23S
70,74,17M 9S
70,76,16M 9S
72,76,15M 52S
74,76,15M 23S
74,78,14M 19S
76,78,14M 1S
78,78,13M 37S
80,78,12M 25S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
80,81,11M 47S
81,81,10M 46S
82,81,10M 46S
82,83,9M 43S
82,85,9M 12S
82,88,8M 37S
83,88,7M 57S
83,91,7M 40S
83,93,7M 5S
86,93,6M 52S
89,93,5M 8S
91,93,4M 40S
91,96,2M 50S
92,96,2M 10S
93,96,2M 10S
93,97,1M 54S
93,98,1M 54S
94,98,1M 35S
95,98,1M 35S
97,98,37S
97,101,12S
100,101,9S
100,102,8S
100,103,8S
100,104,5S
100,105,5S
End of 4th quarter,NA,0S
