Milwaukee,Dallas,time_rem
32-19,29-22,48M 0S
2,0,47M 40S
4,0,47M 16S
4,1,45M 50S
4,2,45M 50S
4,4,45M 29S
4,6,45M 3S
5,6,44M 58S
5,9,44M 45S
7,9,44M 19S
7,11,44M 9S
9,11,43M 53S
9,14,43M 43S
11,14,43M 30S
14,14,43M 6S
14,17,42M 48S
14,19,42M 22S
15,19,41M 20S
17,19,41M 0S
17,21,40M 41S
18,21,40M 32S
19,21,40M 32S
21,21,39M 53S
23,21,39M 22S
26,21,38M 56S
26,23,38M 19S
26,25,37M 43S
28,25,37M 6S
28,26,36M 40S
28,27,36M 40S
30,27,36M 27S
31,27,36M 27S
31,28,36M 2S
31,29,36M 2S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
33,29,35M 30S
33,31,35M 18S
33,33,34M 45S
36,33,34M 31S
36,35,33M 35S
36,36,33M 35S
36,39,32M 50S
36,42,32M 28S
39,42,31M 48S
42,42,30M 57S
44,42,30M 27S
44,43,29M 25S
44,44,29M 25S
46,44,29M 9S
46,46,28M 32S
48,46,28M 16S
48,49,26M 52S
48,51,26M 19S
50,51,26M 7S
51,51,26M 7S
54,51,25M 35S
54,53,24M 34S
56,53,24M 26S
56,55,24M 4S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
56,57,22M 30S
58,57,22M 6S
58,60,21M 10S
58,62,20M 51S
60,62,19M 51S
60,65,19M 39S
62,65,18M 50S
62,68,18M 35S
65,68,17M 55S
67,68,17M 23S
67,69,17M 23S
67,71,17M 8S
70,71,16M 58S
70,73,16M 4S
70,75,15M 11S
72,75,14M 53S
72,77,14M 29S
72,80,13M 58S
74,80,13M 25S
75,80,13M 25S
78,80,13M 2S
80,80,12M 48S
81,80,12M 48S
84,80,12M 5S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
85,80,11M 50S
86,80,11M 50S
86,83,11M 37S
86,85,11M 2S
89,85,10M 47S
89,86,10M 21S
90,86,9M 21S
91,86,9M 21S
91,89,8M 45S
93,89,8M 2S
93,92,7M 48S
93,95,6M 43S
93,97,6M 4S
95,97,5M 57S
95,99,5M 31S
95,100,5M 12S
95,103,4M 28S
97,103,4M 6S
97,105,3M 42S
Jump ball: K. Porziņģis vs. B. Lopez (D. Finney,Smith gains possession),3M 33S
97,107,3M 1S
97,110,2M 17S
100,110,2M 6S
100,112,1M 24S
100,113,1M 24S
100,116,53S
101,116,45S
End of 4th quarter,NA,0S
