Oklahoma City,Utah,time_rem
20-34,41-14,48M 0S
0,0,47M 42S
2,0,46M 40S
2,1,46M 33S
2,2,46M 33S
4,2,46M 16S
4,5,45M 52S
7,5,45M 31S
9,5,44M 59S
9,8,44M 55S
12,8,44M 23S
14,8,43M 39S
14,10,43M 28S
16,10,43M 9S
19,10,42M 11S
19,12,41M 42S
21,12,41M 17S
24,12,41M 1S
24,13,40M 31S
24,14,40M 31S
26,14,40M 8S
28,14,39M 26S
31,14,38M 45S
31,16,37M 59S
31,19,37M 17S
31,22,36M 44S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
31,24,35M 50S
31,27,35M 21S
34,27,34M 10S
34,29,33M 7S
36,29,32M 44S
36,32,32M 26S
39,32,32M 4S
39,34,31M 18S
39,36,30M 23S
39,37,30M 23S
41,37,30M 11S
41,38,29M 49S
41,39,29M 49S
41,42,29M 21S
43,42,29M 10S
45,42,28M 46S
45,44,27M 58S
45,45,27M 17S
47,45,27M 8S
47,47,26M 46S
47,50,26M 18S
49,50,25M 54S
50,50,25M 19S
51,50,25M 19S
51,52,25M 9S
51,53,24M 37S
51,55,24M 9S
52,55,24M 3S
53,55,24M 3S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
53,57,23M 47S
53,59,23M 5S
53,60,22M 35S
53,61,22M 35S
53,64,20M 39S
53,67,19M 50S
56,67,19M 24S
56,69,19M 10S
56,72,18M 56S
58,72,17M 47S
Jump ball: M. Brown vs. D. Favors (T. Maledon gains possession),NA,17M 16S
60,72,17M 1S
60,75,16M 37S
62,75,16M 16S
63,75,15M 55S
63,78,15M 31S
63,79,14M 41S
63,80,14M 41S
66,80,13M 58S
66,82,13M 44S
66,83,13M 44S
66,86,12M 54S
69,86,12M 32S
69,88,12M 13S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
69,91,11M 34S
71,91,10M 45S
71,93,10M 24S
71,95,10M 1S
73,95,9M 43S
73,98,8M 46S
75,98,8M 28S
77,98,7M 46S
77,101,7M 15S
78,101,5M 54S
79,101,5M 54S
80,101,5M 31S
81,101,5M 31S
84,101,4M 59S
86,101,4M 41S
89,101,3M 30S
89,103,2M 12S
92,103,1M 39S
95,103,1M 8S
96,103,29S
96,104,22S
96,105,22S
96,106,15S
End of 4th quarter,NA,0S
