Denver,Portland,time_rem
4-2,2-4,48M 0S
0,0,47M 42S
0,3,47M 33S
3,3,47M 16S
3,5,46M 57S
6,5,46M 12S
6,7,45M 9S
8,7,44M 48S
8,9,44M 34S
9,9,44M 29S
9,10,44M 20S
9,11,44M 20S
9,14,43M 58S
12,14,43M 33S
12,15,43M 16S
12,16,43M 16S
15,16,43M 7S
15,19,42M 55S
17,19,42M 37S
20,19,41M 41S
20,20,41M 22S
22,20,41M 4S
22,22,40M 42S
22,25,40M 17S
25,25,39M 24S
25,28,39M 5S
27,28,38M 43S
27,30,37M 47S
27,33,36M 34S
29,33,36M 10S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
29,36,35M 46S
31,36,34M 59S
31,38,34M 46S
32,38,34M 30S
33,38,34M 3S
34,38,34M 3S
34,40,33M 45S
36,40,33M 36S
36,42,33M 20S
38,42,32M 57S
41,42,32M 32S
41,45,32M 16S
43,45,31M 14S
45,45,30M 33S
45,47,29M 54S
47,47,29M 41S
47,48,29M 26S
47,49,29M 26S
47,51,29M 2S
48,51,28M 27S
49,51,28M 27S
49,53,27M 52S
49,55,27M 37S
51,55,27M 23S
51,58,27M 11S
53,58,26M 59S
53,61,26M 41S
53,63,26M 16S
56,63,25M 14S
58,63,24M 51S
58,65,24M 33S
61,65,24M 14S
61,68,24M 0S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
61,70,23M 35S
61,73,22M 41S
63,73,22M 14S
63,75,21M 58S
65,75,21M 34S
65,77,21M 15S
66,77,20M 56S
67,77,20M 56S
68,77,20M 56S
68,79,20M 35S
68,82,20M 2S
70,82,19M 44S
70,83,19M 24S
72,83,19M 3S
73,83,19M 3S
73,86,18M 44S
75,86,18M 32S
75,89,18M 20S
76,89,18M 5S
77,89,18M 5S
77,91,17M 42S
79,91,17M 29S
79,93,16M 53S
82,93,16M 15S
82,94,16M 5S
82,95,16M 5S
84,95,15M 27S
84,96,15M 11S
84,97,15M 11S
85,97,15M 0S
86,97,15M 0S
87,97,15M 0S
Jump ball: M. Morris vs. A. Simons (A. Gordon gains possession),NA,14M 33S
89,97,14M 17S
91,97,13M 45S
92,97,13M 20S
93,97,13M 20S
93,98,13M 9S
93,99,13M 9S
94,99,12M 49S
95,99,12M 49S
95,100,12M 4S
95,101,12M 4S
98,101,12M 0S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
100,101,11M 43S
102,101,10M 10S
102,103,9M 8S
102,105,8M 6S
102,106,8M 6S
105,106,7M 8S
108,106,6M 28S
108,108,6M 12S
110,108,5M 52S
112,108,5M 6S
113,108,4M 32S
114,108,4M 32S
117,108,3M 52S
119,108,3M 20S
119,110,3M 7S
119,111,2M 29S
119,112,2M 29S
119,113,2M 29S
121,113,1M 37S
121,115,1M 23S
124,115,52S
125,115,31S
126,115,31S
End of 4th quarter,NA,0S
