Memphis,LA Lakers,time_rem
10-11,21-6,48M 0S
0,0,47M 52S
3,0,47M 38S
4,0,46M 49S
5,0,46M 49S
7,0,46M 19S
9,0,45M 15S
11,0,45M 0S
11,2,44M 38S
13,2,44M 24S
16,2,44M 6S
18,2,43M 37S
20,2,42M 36S
22,2,42M 18S
22,4,41M 19S
22,6,40M 40S
22,7,40M 40S
24,7,40M 28S
27,7,39M 54S
27,9,39M 14S
27,11,37M 53S
29,11,37M 20S
29,14,37M 5S
31,14,36M 53S
31,15,36M 27S
31,16,36M 27S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
33,16,35M 25S
33,18,35M 5S
33,20,34M 39S
33,22,34M 13S
35,22,33M 57S
35,23,33M 36S
35,25,32M 57S
36,25,32M 43S
37,25,32M 43S
39,25,31M 50S
39,27,31M 35S
39,28,31M 35S
42,28,31M 19S
45,28,30M 47S
45,30,30M 27S
45,32,29M 57S
45,35,29M 29S
48,35,29M 13S
50,35,28M 28S
50,37,27M 50S
50,38,27M 50S
51,38,27M 32S
52,38,27M 32S
52,39,27M 22S
52,41,27M 16S
54,41,26M 55S
54,42,26M 33S
54,43,26M 33S
56,43,26M 6S
56,44,25M 45S
56,46,25M 21S
59,46,24M 1S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
61,46,23M 43S
61,48,22M 49S
61,50,22M 24S
61,53,22M 14S
61,54,21M 40S
61,55,21M 40S
63,55,21M 22S
63,57,20M 59S
63,59,20M 36S
65,59,20M 10S
65,61,19M 59S
68,61,19M 44S
68,63,18M 57S
70,63,18M 44S
72,63,18M 26S
72,65,18M 4S
72,66,17M 14S
72,67,17M 14S
72,68,16M 50S
73,68,16M 39S
74,68,16M 39S
76,68,16M 8S
76,70,15M 37S
76,73,14M 57S
78,73,14M 32S
80,73,13M 54S
80,75,13M 42S
80,76,13M 42S
80,77,13M 25S
80,78,13M 25S
80,79,13M 25S
80,80,12M 52S
80,82,12M 32S
80,84,12M 29S
82,84,12M 7S
82,87,12M 0S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
82,89,11M 44S
82,90,11M 26S
82,92,10M 53S
85,92,10M 7S
85,94,9M 41S
85,96,9M 25S
86,96,9M 2S
87,96,8M 9S
88,96,8M 9S
88,98,8M 0S
89,98,7M 41S
89,100,7M 15S
91,100,6M 59S
91,102,6M 37S
91,103,6M 12S
91,104,6M 12S
91,106,5M 32S
93,106,5M 0S
93,108,4M 40S
96,108,3M 25S
96,110,2M 58S
96,113,2M 14S
99,113,1M 59S
102,113,1M 25S
103,113,1M 6S
104,113,36S
105,113,36S
105,115,23S
End of 4th quarter,NA,0S
