Milwaukee,Atlanta,time_rem
37-23,34-27,48M 0S
2,0,47M 46S
4,0,47M 20S
4,2,47M 7S
5,2,46M 6S
5,4,45M 48S
5,7,45M 29S
7,7,45M 13S
7,10,44M 54S
7,12,44M 0S
9,12,43M 42S
9,14,43M 22S
12,14,42M 45S
12,16,42M 29S
14,16,41M 28S
14,18,39M 15S
17,18,39M 1S
17,21,38M 43S
19,21,38M 32S
19,23,38M 19S
21,23,38M 0S
24,23,37M 34S
24,26,37M 14S
25,26,36M 59S
26,26,36M 59S
29,26,36M 40S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
31,26,35M 31S
31,29,35M 1S
33,29,34M 49S
34,29,34M 49S
34,31,33M 53S
36,31,33M 31S
36,33,33M 14S
36,35,32M 22S
36,37,30M 34S
38,37,30M 4S
40,37,29M 24S
40,39,29M 4S
42,39,28M 38S
42,41,28M 8S
44,41,26M 50S
45,41,25M 59S
47,41,25M 47S
47,43,25M 28S
49,43,25M 11S
50,43,24M 46S
51,43,24M 46S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
53,43,23M 28S
53,45,23M 10S
55,45,22M 37S
55,47,22M 14S
58,47,21M 45S
58,49,21M 26S
58,50,20M 57S
59,50,20M 42S
60,50,20M 42S
60,52,20M 32S
60,53,20M 16S
60,54,20M 16S
60,56,19M 50S
62,56,18M 8S
62,57,17M 51S
62,59,17M 43S
63,59,17M 18S
64,59,17M 18S
66,59,16M 55S
66,61,16M 44S
68,61,16M 35S
68,63,15M 54S
69,63,15M 38S
70,63,15M 38S
70,64,15M 22S
70,65,14M 51S
70,66,14M 51S
71,66,14M 16S
72,66,14M 16S
72,68,14M 0S
74,68,13M 46S
75,68,12M 52S
75,69,12M 35S
75,70,12M 35S
78,70,12M 29S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
80,70,11M 42S
80,72,11M 21S
80,73,10M 24S
80,74,10M 24S
82,74,10M 8S
82,75,9M 48S
82,76,9M 48S
82,77,9M 18S
82,79,8M 46S
84,79,8M 31S
84,82,7M 43S
84,85,6M 59S
86,85,6M 47S
87,85,6M 47S
87,88,6M 30S
89,88,6M 8S
89,91,5M 54S
89,92,5M 27S
89,95,5M 1S
90,95,4M 47S
90,98,4M 36S
90,100,4M 4S
90,101,3M 52S
92,101,3M 40S
92,104,3M 29S
95,104,2M 41S
97,104,1M 43S
97,107,51S
99,107,27S
99,109,23S
102,109,16S
102,110,15S
102,111,15S
104,111,10S
End of 4th quarter,NA,0S
