Memphis,Minnesota,time_rem
5-6,3-8,48M 0S
2,0,47M 43S
2,2,47M 24S
2,5,47M 1S
4,5,46M 49S
6,5,46M 29S
6,7,45M 52S
8,7,45M 9S
8,9,44M 54S
8,11,44M 35S
8,14,44M 8S
10,14,43M 46S
10,16,43M 27S
12,16,43M 10S
15,16,42M 39S
15,18,42M 24S
15,20,41M 40S
17,20,41M 4S
17,21,40M 47S
17,22,40M 47S
17,25,40M 17S
18,25,40M 8S
19,25,40M 8S
20,25,40M 8S
20,27,39M 55S
22,27,39M 36S
23,27,39M 23S
23,29,37M 44S
25,29,37M 8S
27,29,36M 51S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
29,29,35M 27S
29,31,35M 11S
31,31,34M 30S
31,32,33M 26S
31,33,33M 26S
32,33,32M 44S
33,33,32M 44S
33,35,32M 14S
33,37,31M 11S
36,37,30M 53S
37,37,30M 16S
37,40,29M 37S
39,40,29M 18S
41,40,29M 5S
43,40,28M 21S
43,43,28M 9S
43,44,27M 46S
43,45,27M 46S
43,46,27M 11S
43,47,27M 11S
45,47,26M 54S
47,47,26M 27S
47,49,26M 10S
49,49,25M 48S
49,52,25M 30S
51,52,25M 18S
54,52,24M 55S
54,54,24M 39S
54,55,24M 39S
56,55,24M 30S
56,58,24M 26S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
56,60,23M 38S
58,60,23M 14S
58,62,22M 33S
60,62,22M 9S
60,64,21M 25S
62,64,21M 0S
62,66,20M 32S
62,69,20M 5S
62,71,19M 40S
64,71,19M 9S
64,73,19M 3S
66,73,18M 13S
66,75,17M 57S
66,77,17M 37S
68,77,17M 22S
70,77,16M 48S
70,79,16M 24S
72,79,16M 15S
72,81,16M 5S
74,81,15M 58S
74,82,15M 45S
74,83,15M 45S
76,83,15M 35S
76,84,15M 11S
76,86,13M 29S
78,86,13M 17S
78,88,12M 59S
78,89,12M 41S
78,90,12M 41S
80,90,12M 6S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
80,92,11M 20S
83,92,11M 8S
85,92,10M 22S
88,92,9M 57S
91,92,9M 31S
93,92,9M 2S
94,92,9M 2S
94,94,8M 29S
94,95,8M 29S
96,95,7M 49S
96,96,7M 37S
98,96,7M 2S
101,96,6M 17S
104,96,5M 53S
104,99,5M 35S
106,99,5M 13S
Jump ball: K. Towns vs. D. Brooks (T. Jones gains possession),NA,4M 24S
108,99,3M 44S
108,100,3M 29S
108,101,3M 29S
110,101,3M 14S
110,103,2M 19S
112,103,2M 5S
114,103,1M 37S
Jump ball: J. Valančiūnas vs. K. Towns (T. Jones gains possession),NA,49S
114,105,28S
115,105,25S
116,105,25S
116,106,17S
116,107,17S
118,107,11S
End of 4th quarter,NA,0S
