Sacramento,Atlanta,time_rem
15-23,18-20,48M 0S
0,0,47M 44S
2,0,47M 39S
2,2,47M 33S
4,2,47M 14S
4,4,46M 57S
7,4,46M 31S
9,4,46M 5S
11,4,44M 57S
11,6,44M 19S
13,6,43M 45S
13,8,43M 35S
15,8,43M 19S
17,8,42M 56S
17,10,42M 33S
19,10,42M 30S
20,10,42M 13S
21,10,42M 13S
24,10,41M 4S
24,11,40M 47S
24,12,40M 47S
26,12,40M 32S
26,14,40M 22S
26,16,39M 57S
26,18,39M 31S
28,18,39M 4S
28,20,38M 8S
29,20,37M 51S
31,20,36M 53S
31,22,36M 38S
33,22,36M 3S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
33,24,35M 10S
33,26,34M 25S
33,27,34M 8S
33,28,34M 8S
33,30,34M 0S
33,33,33M 20S
35,33,32M 59S
35,36,32M 17S
35,38,31M 44S
35,40,30M 59S
35,43,30M 1S
35,46,29M 43S
37,46,29M 26S
37,47,29M 17S
37,48,29M 17S
39,48,29M 7S
39,50,28M 17S
41,50,28M 7S
41,51,27M 53S
41,52,27M 53S
42,52,27M 44S
43,52,27M 44S
45,52,27M 0S
47,52,26M 38S
47,53,26M 0S
47,54,26M 0S
47,56,25M 24S
48,56,25M 12S
49,56,25M 12S
51,56,24M 31S
51,58,24M 27S
51,61,24M 0S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
51,63,23M 44S
51,66,23M 20S
53,66,23M 4S
53,68,22M 42S
55,68,21M 55S
55,69,21M 30S
57,69,21M 23S
57,71,21M 2S
58,71,20M 19S
61,71,20M 14S
61,73,19M 50S
63,73,19M 33S
64,73,19M 33S
64,75,19M 11S
64,78,18M 50S
64,81,18M 24S
66,81,18M 4S
66,83,17M 37S
66,85,16M 50S
69,85,16M 40S
69,88,16M 16S
71,88,16M 6S
71,89,15M 54S
71,90,15M 33S
71,91,15M 33S
71,94,15M 0S
74,94,14M 47S
76,94,14M 23S
78,94,13M 47S
79,94,13M 47S
79,96,13M 10S
81,96,12M 43S
81,98,12M 26S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
81,100,11M 3S
83,100,10M 25S
85,100,9M 56S
85,103,9M 38S
87,103,9M 22S
87,104,9M 4S
87,105,9M 4S
89,105,8M 57S
89,107,8M 38S
92,107,7M 52S
95,107,7M 26S
95,108,6M 23S
95,109,6M 23S
97,109,6M 6S
97,110,5M 56S
98,110,5M 38S
99,110,5M 38S
99,111,5M 33S
100,111,5M 18S
100,112,5M 17S
102,112,5M 3S
102,114,3M 56S
102,116,3M 28S
104,116,2M 0S
104,119,1M 40S
104,120,35S
104,121,35S
106,121,22S
End of 4th quarter,NA,0S
