Washington,Boston,time_rem
NA,NA,48M 0S
0,0,47M 48S
2,0,47M 27S
2,3,47M 11S
3,3,46M 46S
5,3,46M 21S
5,5,45M 17S
5,8,44M 59S
7,8,44M 33S
7,9,44M 0S
7,10,44M 0S
7,13,42M 58S
9,13,42M 40S
9,15,41M 57S
11,15,41M 3S
11,17,40M 27S
13,17,40M 18S
13,19,39M 58S
13,22,39M 8S
15,22,38M 48S
17,22,38M 19S
17,24,38M 8S
19,24,37M 59S
19,27,36M 58S
20,27,36M 47S
21,27,36M 47S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
21,29,35M 4S
23,29,34M 50S
23,31,34M 32S
25,31,34M 21S
27,31,34M 5S
29,31,32M 26S
29,33,32M 15S
Jump ball: R. Lopez vs. K. Walker (D. Bertāns gains possession),NA,31M 49S
32,33,31M 28S
33,33,31M 1S
33,34,30M 51S
33,35,30M 51S
35,35,30M 41S
35,36,30M 13S
35,37,30M 13S
37,37,29M 51S
39,37,29M 27S
41,37,29M 2S
42,37,28M 47S
42,38,27M 59S
44,38,27M 45S
46,38,27M 8S
46,40,26M 32S
48,40,26M 15S
48,42,26M 3S
50,42,25M 46S
50,44,25M 34S
50,45,25M 34S
52,45,25M 16S
52,46,25M 3S
52,47,25M 3S
52,48,25M 3S
52,50,24M 31S
52,51,24M 31S
54,51,24M 25S
54,52,24M 3S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
54,54,23M 48S
54,55,23M 48S
56,55,23M 37S
56,58,23M 24S
56,61,22M 24S
56,64,21M 25S
56,66,20M 40S
56,69,20M 9S
58,69,19M 47S
58,71,19M 38S
58,74,19M 13S
59,74,19M 2S
60,74,19M 2S
61,74,18M 17S
62,74,18M 17S
62,76,18M 1S
64,76,17M 49S
66,76,17M 26S
68,76,16M 56S
68,79,16M 35S
68,80,16M 3S
69,80,15M 28S
70,80,15M 28S
70,82,15M 10S
70,83,14M 47S
70,84,14M 47S
73,84,14M 25S
73,85,14M 14S
73,86,14M 14S
75,86,14M 6S
78,86,13M 21S
78,87,13M 2S
78,88,13M 2S
80,88,12M 50S
80,90,12M 28S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
82,90,11M 45S
82,91,10M 13S
83,91,9M 49S
84,91,9M 49S
84,92,9M 37S
84,93,9M 37S
84,95,9M 7S
85,95,9M 1S
86,95,9M 1S
86,98,8M 49S
87,98,8M 18S
88,98,8M 18S
88,100,7M 15S
88,101,6M 43S
88,103,6M 2S
88,106,5M 32S
90,106,5M 9S
90,108,4M 48S
90,109,4M 26S
90,110,4M 26S
92,110,4M 17S
94,110,3M 45S
94,113,3M 2S
94,116,2M 36S
96,116,2M 18S
98,116,1M 34S
98,118,1M 4S
100,118,17S
End of 4th quarter,NA,0S
