Miami,Dallas,time_rem
2-3,2-3,48M 0S
0,0,47M 40S
1,0,47M 12S
1,2,46M 58S
3,2,46M 13S
3,4,44M 43S
3,5,44M 43S
5,5,44M 33S
7,5,42M 9S
7,6,41M 46S
7,8,41M 5S
9,8,40M 45S
9,10,40M 31S
9,13,40M 6S
9,15,39M 31S
9,16,39M 4S
9,17,39M 4S
10,17,38M 49S
10,18,38M 0S
11,18,37M 46S
12,18,37M 46S
12,19,37M 28S
12,20,37M 28S
14,20,37M 12S
16,20,36M 49S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
18,20,35M 13S
18,23,34M 57S
18,26,33M 57S
19,26,33M 40S
20,26,33M 40S
20,28,33M 16S
22,28,32M 55S
23,28,32M 16S
Jump ball: K. Olynyk vs. D. Finney,Smith (P. Achiuwa gains possession),31M 59S
23,31,30M 52S
24,31,30M 43S
26,31,30M 8S
26,33,29M 33S
27,33,29M 17S
28,33,28M 49S
29,33,28M 49S
29,35,28M 3S
29,37,27M 35S
30,37,26M 55S
31,37,26M 55S
31,39,26M 34S
31,42,26M 0S
31,43,25M 37S
31,46,25M 21S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
32,46,24M 0S
32,49,23M 29S
34,49,22M 43S
34,51,22M 18S
34,53,21M 52S
34,56,21M 24S
37,56,21M 7S
37,58,20M 49S
37,61,19M 40S
40,61,19M 22S
40,64,18M 58S
42,64,18M 41S
45,64,18M 2S
45,66,17M 35S
47,66,16M 4S
49,66,14M 56S
49,67,14M 7S
49,68,14M 7S
49,70,13M 2S
52,70,12M 52S
53,70,12M 28S
53,73,12M 14S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
53,75,11M 44S
53,77,11M 0S
54,77,10M 45S
56,77,9M 53S
56,78,8M 32S
56,79,8M 32S
58,79,8M 0S
61,79,7M 10S
63,79,6M 34S
63,81,6M 8S
65,81,5M 52S
67,81,5M 28S
69,81,4M 50S
69,82,4M 8S
69,83,4M 8S
71,83,3M 48S
73,83,3M 29S
73,85,3M 6S
73,88,2M 31S
75,88,2M 21S
75,89,2M 6S
75,90,2M 6S
78,90,1M 29S
81,90,1M 11S
81,92,57S
81,93,44S
82,93,39S
83,93,39S
End of 4th quarter,NA,0S
