Memphis,Boston,time_rem
1-3,3-2,48M 0S
2,0,47M 44S
4,0,46M 52S
4,1,46M 39S
4,3,46M 9S
4,5,45M 21S
4,7,44M 54S
4,10,44M 36S
4,12,44M 20S
7,12,44M 13S
7,14,43M 56S
9,14,43M 39S
9,17,42M 56S
11,17,41M 39S
12,17,41M 11S
13,17,41M 11S
13,19,40M 46S
15,19,40M 29S
15,22,40M 16S
15,25,39M 43S
17,25,39M 7S
17,26,38M 54S
17,28,38M 31S
17,29,38M 31S
19,29,38M 16S
19,31,36M 38S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
21,31,35M 32S
21,33,35M 18S
21,35,34M 47S
23,35,34M 28S
23,37,34M 6S
25,37,33M 52S
25,40,32M 51S
26,40,32M 32S
27,40,32M 32S
30,40,32M 5S
30,43,31M 44S
30,46,31M 0S
30,49,30M 34S
30,52,29M 48S
30,55,29M 11S
30,57,28M 39S
32,57,28M 27S
34,57,28M 8S
34,59,27M 52S
36,59,27M 34S
36,62,26M 30S
36,64,25M 39S
36,66,25M 5S
37,66,24M 48S
38,66,24M 48S
40,66,24M 22S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
40,68,23M 44S
42,68,22M 40S
43,68,22M 40S
43,71,22M 4S
43,73,21M 26S
43,75,20M 59S
44,75,20M 36S
45,75,20M 36S
45,77,19M 18S
47,77,18M 53S
49,77,18M 27S
51,77,17M 49S
51,80,17M 27S
54,80,17M 9S
54,82,16M 59S
54,83,16M 59S
56,83,16M 48S
58,83,16M 7S
58,86,15M 40S
60,86,15M 20S
62,86,14M 31S
63,86,14M 11S
63,88,13M 46S
65,88,13M 37S
65,89,13M 22S
65,90,13M 22S
65,92,13M 7S
65,93,13M 7S
66,93,12M 50S
69,93,12M 44S
69,95,12M 29S
70,95,12M 8S
71,95,12M 8S
71,96,12M 5S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
73,96,11M 46S
73,98,11M 29S
74,98,10M 57S
74,100,10M 34S
76,100,10M 23S
76,102,10M 0S
78,102,9M 31S
81,102,9M 2S
81,104,8M 43S
82,104,8M 21S
82,106,8M 8S
84,106,7M 49S
85,106,7M 49S
85,109,7M 39S
85,111,6M 40S
85,113,5M 52S
86,113,5M 35S
87,113,5M 35S
87,114,5M 25S
87,115,5M 25S
89,115,5M 8S
89,118,4M 53S
91,118,4M 37S
94,118,4M 5S
96,118,3M 10S
98,118,2M 44S
98,120,2M 15S
101,120,1M 56S
101,121,1M 48S
101,122,1M 48S
104,122,1M 14S
104,124,1M 0S
104,126,39S
107,126,22S
End of 4th quarter,NA,0S
