San Antonio,Oklahoma City,time_rem
16-12,13-19,48M 0S
0,0,47M 39S
2,0,47M 28S
2,2,47M 8S
2,4,46M 41S
4,4,46M 28S
4,6,45M 53S
6,6,45M 41S
8,6,44M 40S
8,8,44M 25S
10,8,44M 7S
12,8,42M 43S
12,11,42M 33S
12,14,41M 33S
12,17,39M 59S
14,17,39M 47S
14,20,39M 26S
14,22,39M 0S
16,22,38M 8S
16,25,37M 51S
17,25,37M 35S
18,25,37M 35S
18,28,37M 28S
21,28,36M 24S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
22,28,35M 24S
23,28,35M 24S
26,28,34M 59S
29,28,34M 21S
29,30,34M 7S
32,30,33M 46S
34,30,32M 21S
35,30,31M 53S
37,30,30M 30S
37,32,30M 17S
37,34,29M 46S
40,34,29M 11S
40,36,28M 47S
43,36,28M 33S
43,37,28M 12S
43,38,28M 12S
43,40,27M 48S
45,40,26M 46S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
47,40,23M 15S
47,42,22M 57S
49,42,22M 46S
51,42,22M 19S
Jump ball: J. Poeltl vs. A. Horford (T. Lyles gains possession),NA,22M 0S
53,42,21M 30S
53,43,21M 19S
53,44,21M 19S
53,47,20M 54S
53,50,20M 26S
53,51,20M 26S
55,51,20M 4S
55,52,19M 53S
55,53,19M 53S
56,53,19M 39S
58,53,19M 30S
60,53,19M 0S
60,56,18M 44S
62,56,18M 32S
62,58,18M 21S
62,59,17M 57S
65,59,17M 39S
65,62,17M 13S
65,65,16M 35S
67,65,16M 21S
68,65,15M 3S
68,67,14M 55S
70,67,14M 36S
71,67,13M 55S
71,70,13M 42S
71,72,13M 13S
73,72,12M 57S
73,73,12M 19S
73,74,12M 19S
73,76,12M 0S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
74,76,11M 34S
75,76,11M 34S
77,76,10M 45S
79,76,10M 18S
82,76,10M 0S
84,76,9M 19S
84,79,8M 58S
84,82,8M 32S
86,82,8M 19S
86,84,7M 48S
86,87,7M 4S
Jump ball: D. Murray vs. A. Horford (J. Poeltl gains possession),NA,6M 47S
88,87,6M 16S
88,89,5M 24S
88,91,4M 50S
90,91,4M 35S
90,94,3M 36S
90,97,3M 10S
93,97,2M 49S
95,97,1M 44S
95,99,1M 21S
97,99,1M 2S
99,99,29S
99,102,0S
End of 4th quarter,NA,0S
