Portland,LA Lakers,time_rem
2-1,2-2,48M 0S
0,0,47M 44S
0,2,47M 22S
0,4,46M 59S
0,6,46M 36S
1,6,46M 17S
2,6,46M 17S
2,9,45M 54S
5,9,45M 6S
5,12,44M 51S
5,14,44M 24S
5,17,43M 43S
7,17,42M 57S
7,20,42M 36S
8,20,42M 7S
9,20,42M 7S
10,20,42M 7S
12,20,40M 17S
15,20,39M 41S
18,20,38M 54S
18,22,38M 12S
18,24,37M 44S
20,24,36M 54S
20,26,36M 46S
20,27,36M 46S
22,27,36M 28S
22,30,36M 4S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
24,30,35M 20S
26,30,34M 51S
28,30,33M 40S
31,30,33M 18S
34,30,33M 3S
34,33,32M 47S
36,33,32M 27S
36,35,32M 13S
39,35,31M 56S
40,35,31M 12S
41,35,31M 12S
43,35,30M 46S
43,37,30M 26S
45,37,29M 51S
45,39,29M 29S
45,40,29M 9S
45,41,29M 9S
47,41,28M 49S
47,43,28M 30S
49,43,27M 42S
49,45,27M 30S
50,45,27M 12S
50,47,27M 0S
52,47,26M 45S
52,50,26M 26S
52,51,25M 51S
52,52,25M 51S
54,52,25M 38S
56,52,25M 12S
57,52,24M 32S
58,52,24M 32S
58,54,24M 16S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
61,54,22M 53S
61,56,22M 14S
61,58,21M 40S
61,61,21M 16S
61,62,21M 3S
61,63,21M 3S
61,64,20M 58S
61,65,20M 58S
61,67,20M 34S
61,69,19M 35S
64,69,19M 8S
64,71,18M 49S
64,73,18M 33S
66,73,18M 16S
68,73,17M 58S
71,73,17M 17S
71,75,16M 15S
73,75,15M 52S
73,77,15M 24S
73,78,15M 24S
76,78,15M 4S
76,80,14M 53S
76,81,14M 53S
Jump ball: R. Covington vs. M. Harrell (G. Trent gains possession),NA,14M 30S
77,81,14M 26S
77,83,13M 45S
80,83,13M 33S
82,83,13M 9S
82,85,12M 55S
84,85,12M 34S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
85,85,11M 27S
85,87,10M 54S
87,87,10M 18S
90,87,9M 21S
90,90,9M 3S
93,90,8M 50S
93,91,8M 34S
96,91,8M 15S
98,91,6M 50S
98,94,6M 27S
98,96,5M 59S
98,98,5M 34S
98,99,5M 34S
100,99,5M 15S
103,99,4M 26S
103,101,3M 49S
106,101,3M 36S
108,101,2M 55S
108,103,2M 38S
110,103,2M 17S
111,103,2M 17S
111,105,1M 59S
113,105,1M 36S
113,106,1M 23S
113,107,1M 23S
115,107,20S
End of 4th quarter,NA,0S
