San Antonio,LA Clippers,time_rem
3-4,5-3,48M 0S
0,0,47M 46S
2,0,47M 27S
4,0,47M 4S
7,0,46M 6S
9,0,44M 47S
9,3,43M 49S
12,3,43M 23S
12,5,43M 4S
14,5,42M 48S
14,7,42M 31S
16,7,42M 9S
16,9,41M 58S
16,11,41M 14S
18,11,40M 55S
20,11,40M 22S
20,13,40M 12S
20,14,40M 12S
20,16,39M 35S
20,18,38M 57S
23,18,38M 43S
23,20,38M 17S
23,22,37M 59S
26,22,37M 52S
26,23,37M 30S
26,24,37M 30S
26,25,37M 30S
26,27,37M 11S
29,27,36M 53S
32,27,36M 32S
33,27,36M 5S
36,27,36M 4S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
39,27,35M 50S
41,27,35M 22S
41,30,34M 42S
Jump ball: J. Poeltl vs. I. Zubac (R. Gay gains possession),NA,34M 13S
44,30,33M 33S
46,30,33M 6S
47,30,31M 39S
49,30,31M 28S
51,30,30M 37S
52,30,30M 37S
54,30,29M 45S
54,33,29M 14S
57,33,28M 28S
57,35,28M 13S
57,36,28M 13S
59,36,27M 47S
60,36,27M 47S
60,38,27M 34S
60,40,27M 1S
60,42,25M 38S
63,42,24M 55S
63,43,24M 20S
63,44,24M 20S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
63,46,23M 13S
65,46,22M 54S
65,48,22M 33S
65,50,22M 2S
67,50,21M 41S
67,53,21M 18S
67,55,21M 3S
69,55,20M 39S
69,58,20M 20S
69,61,19M 49S
71,61,19M 14S
71,62,19M 5S
71,65,18M 57S
73,65,18M 32S
76,65,17M 46S
76,67,17M 13S
76,69,16M 49S
79,69,16M 28S
79,71,16M 15S
79,73,15M 17S
82,73,14M 8S
82,75,13M 55S
82,78,13M 23S
83,78,13M 7S
83,81,12M 35S
85,81,12M 28S
85,84,12M 9S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
85,86,11M 45S
88,86,11M 28S
91,86,10M 59S
93,86,10M 35S
94,86,10M 35S
95,86,10M 11S
97,86,9M 48S
97,87,9M 34S
97,88,9M 34S
97,91,8M 59S
100,91,8M 36S
100,93,8M 22S
102,93,8M 5S
105,93,7M 8S
105,96,6M 44S
108,96,5M 41S
111,96,5M 15S
111,99,4M 54S
113,99,4M 36S
113,102,4M 22S
113,104,3M 31S
113,106,2M 37S
115,106,1M 45S
115,109,1M 32S
115,111,59S
115,112,47S
115,113,47S
116,113,5S
End of 4th quarter,NA,0S
