LA Clippers,Utah,time_rem
3-2,2-3,48M 0S
0,0,47M 47S
2,0,47M 8S
5,0,46M 41S
5,3,46M 23S
8,3,45M 54S
10,3,45M 31S
10,4,45M 16S
10,7,44M 43S
10,10,44M 13S
12,10,43M 55S
13,10,43M 23S
13,13,43M 11S
13,15,42M 47S
15,15,42M 28S
15,18,41M 46S
18,18,41M 30S
18,20,41M 11S
20,20,40M 53S
Jump ball: M. Morris vs. D. Mitchell (R. Jackson gains possession),NA,40M 37S
20,23,40M 19S
23,23,40M 2S
23,26,39M 44S
25,26,39M 35S
26,26,39M 35S
26,29,39M 21S
26,32,38M 48S
27,32,38M 13S
29,32,37M 54S
29,34,37M 42S
31,34,37M 27S
34,34,36M 49S
34,37,36M 9S
36,37,36M 1S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
36,40,35M 32S
36,43,34M 57S
37,43,34M 17S
38,43,34M 17S
41,43,33M 48S
44,43,32M 58S
44,46,32M 42S
44,48,32M 0S
44,51,31M 26S
46,51,31M 1S
46,54,30M 54S
46,56,30M 10S
49,56,29M 58S
49,58,29M 40S
49,59,28M 51S
51,59,28M 34S
53,59,28M 1S
54,59,28M 1S
54,62,27M 51S
56,62,26M 30S
56,65,26M 8S
58,65,25M 40S
60,65,24M 56S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
61,65,23M 40S
62,65,23M 40S
62,67,23M 16S
63,67,23M 3S
64,67,23M 3S
66,67,22M 48S
69,67,22M 24S
69,69,22M 11S
71,69,21M 43S
71,70,21M 8S
73,70,20M 56S
76,70,19M 52S
77,70,19M 8S
77,71,18M 59S
77,72,18M 59S
80,72,18M 13S
80,74,17M 49S
83,74,17M 30S
83,76,17M 17S
83,78,16M 50S
83,79,16M 15S
83,80,15M 3S
86,80,14M 52S
86,82,14M 30S
88,82,14M 12S
90,82,13M 47S
92,82,12M 47S
92,83,12M 38S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
92,85,10M 39S
92,86,9M 54S
92,87,9M 54S
92,88,8M 43S
92,89,8M 43S
94,89,8M 20S
94,90,8M 16S
97,90,7M 44S
100,90,6M 47S
100,91,6M 33S
100,92,6M 33S
100,94,6M 16S
100,96,5M 46S
100,97,5M 46S
103,97,5M 26S
105,97,4M 48S
105,100,4M 5S
106,100,3M 17S
107,100,3M 17S
107,103,3M 5S
109,103,2M 39S
110,103,2M 39S
110,104,2M 28S
110,106,2M 0S
112,106,1M 48S
113,106,1M 48S
113,107,59S
113,108,59S
114,108,29S
115,108,20S
116,108,20S
116,111,18S
117,111,14S
118,111,7S
119,111,7S
End of 4th quarter,NA,0S
