Golden State,Portland,time_rem
19-17,20-14,48M 0S
2,0,47M 44S
4,0,47M 13S
7,0,45M 35S
10,0,45M 3S
10,2,44M 3S
13,2,43M 50S
15,2,43M 29S
15,5,43M 14S
17,5,42M 59S
17,7,42M 41S
17,9,42M 24S
17,11,41M 46S
17,14,40M 20S
19,14,40M 8S
19,15,39M 54S
19,16,39M 54S
21,16,39M 40S
21,18,39M 12S
23,18,38M 59S
23,20,38M 38S
23,22,38M 10S
23,23,38M 10S
26,23,37M 52S
26,26,37M 30S
28,26,37M 17S
29,26,37M 17S
29,27,36M 58S
29,28,36M 58S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
29,30,35M 45S
29,33,34M 49S
32,33,34M 36S
35,33,34M 5S
35,34,33M 44S
37,34,32M 45S
38,34,32M 13S
40,34,32M 6S
40,36,31M 3S
42,36,30M 39S
42,39,30M 27S
42,41,29M 55S
44,41,29M 9S
46,41,28M 43S
47,41,28M 28S
48,41,28M 28S
48,43,28M 9S
50,43,27M 26S
50,45,27M 5S
50,46,27M 5S
52,46,26M 54S
53,46,26M 54S
53,49,26M 30S
53,51,26M 10S
53,52,26M 10S
54,52,25M 23S
54,53,25M 13S
56,53,24M 56S
56,54,24M 17S
56,55,24M 17S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
58,55,23M 4S
58,58,22M 17S
61,58,22M 7S
64,58,21M 37S
64,61,21M 19S
67,61,20M 30S
67,64,19M 10S
67,67,18M 34S
67,69,18M 3S
67,70,18M 3S
69,70,17M 47S
72,70,17M 7S
74,70,15M 50S
74,71,15M 33S
74,72,15M 33S
74,74,14M 10S
74,75,14M 10S
74,77,13M 46S
76,77,13M 24S
78,77,12M 54S
78,79,12M 40S
78,80,12M 40S
78,82,12M 25S
79,82,12M 0S
80,82,12M 0S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
83,82,11M 47S
83,84,11M 26S
84,84,11M 6S
84,87,10M 43S
86,87,10M 18S
88,87,9M 49S
88,89,9M 24S
91,89,8M 41S
93,89,5M 58S
93,90,5M 36S
93,91,5M 36S
96,91,5M 24S
96,92,5M 11S
96,93,5M 11S
96,95,4M 44S
98,95,4M 21S
101,95,3M 57S
101,98,3M 40S
101,100,2M 36S
103,100,2M 15S
103,103,2M 6S
106,103,1M 43S
106,104,51S
106,105,51S
106,108,14S
End of 4th quarter,NA,0S
