LA Clippers,Dallas,time_rem
26-15,20-18,48M 0S
2,0,47M 44S
2,3,46M 45S
4,3,46M 32S
6,3,46M 0S
8,3,45M 30S
8,5,44M 53S
9,5,44M 32S
9,8,44M 3S
12,8,43M 47S
12,10,42M 58S
14,10,42M 29S
16,10,42M 7S
18,10,41M 28S
20,10,40M 56S
22,10,39M 29S
22,13,39M 9S
24,13,38M 44S
24,15,38M 18S
25,15,38M 9S
26,15,38M 9S
29,15,37M 49S
29,18,37M 31S
31,18,36M 43S
31,21,36M 31S
31,23,36M 0S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
31,26,35M 41S
34,26,35M 19S
34,29,35M 9S
34,31,34M 34S
37,31,34M 9S
37,33,33M 24S
39,33,33M 6S
39,36,32M 39S
41,36,31M 47S
41,38,30M 59S
41,40,29M 58S
43,40,28M 48S
43,42,28M 30S
43,44,27M 38S
45,44,27M 19S
47,44,26M 51S
47,46,26M 30S
47,48,26M 6S
49,48,25M 51S
49,50,25M 35S
52,50,25M 17S
55,50,24M 13S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
55,52,23M 27S
57,52,23M 13S
59,52,22M 28S
61,52,22M 2S
61,55,21M 44S
61,58,20M 58S
63,58,20M 45S
63,60,20M 5S
65,60,19M 34S
65,62,18M 56S
68,62,18M 15S
70,62,17M 42S
70,65,17M 31S
71,65,17M 12S
72,65,17M 12S
75,65,16M 39S
75,67,16M 23S
78,67,15M 39S
78,70,15M 20S
81,70,14M 33S
81,73,13M 39S
83,73,13M 0S
83,76,12M 54S
85,76,12M 11S
85,77,12M 1S
85,78,12M 1S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
88,78,11M 44S
90,78,11M 20S
90,80,10M 11S
90,82,9M 41S
90,84,9M 15S
93,84,8M 53S
94,84,8M 0S
94,87,7M 44S
96,87,7M 18S
96,89,7M 9S
96,90,7M 9S
97,90,6M 27S
98,90,6M 27S
101,90,5M 56S
101,91,5M 17S
101,94,4M 59S
101,96,4M 20S
103,96,4M 2S
103,99,3M 15S
105,99,2M 8S
106,99,2M 8S
109,99,26S
End of 4th quarter,NA,0S
