Oklahoma City,Houston,time_rem
18-24,11-30,48M 0S
0,0,47M 39S
2,0,46M 50S
4,0,46M 23S
4,2,46M 16S
6,2,46M 0S
6,4,45M 20S
6,6,44M 56S
9,6,44M 44S
10,6,44M 17S
11,6,44M 17S
11,8,44M 4S
11,9,43M 10S
13,9,42M 48S
13,11,42M 31S
13,13,41M 50S
13,15,40M 44S
15,15,40M 34S
15,17,40M 22S
18,17,40M 4S
19,17,39M 40S
20,17,39M 40S
22,17,39M 22S
22,19,39M 14S
22,22,38M 43S
24,22,38M 23S
25,22,38M 23S
27,22,37M 19S
29,22,36M 51S
31,22,36M 33S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
31,24,35M 47S
34,24,35M 33S
34,26,35M 15S
34,29,33M 49S
37,29,33M 23S
39,29,32M 38S
40,29,32M 38S
42,29,32M 8S
42,32,31M 57S
44,32,31M 45S
44,33,31M 30S
44,36,31M 22S
46,36,31M 7S
46,39,30M 50S
48,39,30M 34S
48,42,30M 22S
51,42,30M 12S
51,44,29M 52S
54,44,29M 37S
54,47,29M 9S
54,48,28M 44S
54,49,28M 44S
56,49,28M 16S
56,50,28M 7S
59,50,27M 48S
59,51,26M 53S
59,52,26M 53S
59,55,26M 31S
60,55,26M 10S
61,55,26M 10S
61,58,25M 58S
63,58,25M 44S
66,58,25M 12S
66,59,24M 55S
66,60,24M 55S
66,62,24M 24S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
66,64,23M 49S
68,64,23M 25S
68,65,22M 28S
68,66,20M 37S
68,67,20M 37S
70,67,20M 13S
70,70,20M 0S
73,70,19M 15S
73,72,18M 41S
76,72,18M 1S
78,72,17M 24S
80,72,17M 4S
80,74,16M 51S
80,76,16M 28S
82,76,16M 12S
82,77,15M 56S
82,79,15M 23S
84,79,15M 13S
84,80,13M 59S
84,81,13M 59S
86,81,13M 51S
86,83,13M 31S
87,83,13M 14S
88,83,13M 14S
88,85,13M 4S
90,85,12M 26S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
90,87,10M 24S
92,87,10M 6S
93,87,9M 42S
93,90,9M 31S
94,90,9M 16S
95,90,9M 16S
95,92,8M 16S
97,92,7M 44S
97,94,7M 12S
100,94,6M 43S
100,97,6M 16S
100,98,5M 45S
101,98,5M 26S
102,98,5M 26S
102,100,5M 14S
105,100,4M 56S
105,103,4M 39S
108,103,4M 22S
108,106,3M 36S
108,107,3M 7S
108,108,3M 7S
109,108,2M 53S
109,110,2M 46S
111,110,2M 33S
111,111,2M 18S
113,111,1M 56S
113,112,1M 9S
114,112,5S
End of 4th quarter,NA,0S
