Miami,Washington,time_rem
4-4,2-8,48M 0S
0,0,47M 41S
2,0,46M 53S
4,0,46M 30S
6,0,45M 59S
6,2,45M 44S
9,2,45M 31S
9,4,45M 19S
9,5,45M 19S
9,7,45M 0S
12,7,44M 49S
14,7,44M 17S
14,9,44M 3S
16,9,43M 53S
16,11,43M 43S
18,11,43M 28S
18,13,43M 12S
20,13,43M 3S
20,14,42M 56S
21,14,42M 12S
22,14,42M 12S
22,16,42M 0S
22,17,42M 0S
24,17,41M 48S
24,19,41M 29S
26,19,41M 2S
26,22,40M 49S
29,22,40M 28S
29,24,40M 10S
29,25,40M 10S
32,25,39M 59S
32,28,39M 39S
35,28,39M 21S
35,29,39M 5S
35,30,39M 5S
35,32,38M 27S
35,33,38M 15S
35,34,38M 15S
38,34,38M 6S
38,36,37M 39S
41,36,37M 27S
41,38,37M 5S
44,38,36M 56S
44,39,36M 48S
44,40,36M 48S
44,41,36M 30S
44,42,36M 30S
47,42,36M 19S
47,44,36M 0S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
47,45,35M 12S
50,45,34M 36S
50,46,34M 23S
50,47,34M 23S
52,47,34M 4S
53,47,33M 49S
53,50,33M 19S
55,50,32M 54S
55,52,32M 44S
58,52,32M 32S
58,54,32M 21S
58,55,31M 16S
58,56,31M 16S
58,58,30M 47S
58,60,30M 11S
60,60,29M 57S
62,60,29M 21S
62,62,29M 8S
63,62,28M 54S
64,62,28M 16S
67,62,27M 49S
67,65,27M 35S
69,65,27M 23S
70,65,27M 2S
71,65,27M 2S
71,67,26M 54S
71,70,26M 26S
73,70,25M 52S
74,70,25M 34S
75,70,25M 34S
75,71,25M 21S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
75,73,23M 47S
77,73,23M 6S
79,73,22M 6S
79,76,21M 26S
81,76,21M 13S
84,76,19M 27S
86,76,18M 45S
86,78,18M 28S
86,80,17M 11S
89,80,16M 51S
91,80,16M 20S
94,80,15M 58S
96,80,15M 31S
97,80,15M 31S
97,83,15M 0S
98,83,14M 27S
99,83,14M 27S
99,85,13M 45S
101,85,13M 34S
103,85,12M 51S
103,86,12M 41S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
105,86,11M 45S
108,86,11M 21S
110,86,10M 34S
110,89,10M 25S
110,91,9M 59S
110,94,9M 39S
112,94,8M 56S
112,97,8M 38S
112,99,8M 20S
112,101,7M 42S
112,104,7M 19S
113,104,6M 41S
114,104,6M 41S
116,104,5M 14S
117,104,5M 14S
117,107,4M 58S
119,107,4M 39S
120,107,4M 20S
121,107,4M 20S
122,107,4M 20S
122,109,4M 0S
123,109,3M 46S
123,111,3M 17S
123,112,2M 52S
123,113,2M 52S
125,113,2M 43S
127,113,2M 6S
127,116,1M 54S
127,119,1M 38S
127,122,1M 18S
128,122,7S
128,124,0S
End of 4th quarter,NA,0S
