Oklahoma City,Boston,time_rem
21-41,32-30,48M 0S
3,0,47M 44S
3,2,47M 30S
4,2,46M 53S
5,2,46M 53S
5,4,46M 10S
7,4,45M 38S
7,6,45M 24S
7,7,44M 46S
7,8,44M 46S
9,8,44M 36S
11,8,44M 14S
13,8,43M 52S
14,8,43M 11S
15,8,43M 11S
15,10,42M 38S
16,10,42M 19S
17,10,42M 19S
20,10,41M 20S
20,13,41M 11S
20,16,40M 37S
21,16,40M 22S
22,16,40M 22S
22,19,39M 18S
24,19,38M 58S
24,21,37M 58S
24,23,37M 20S
26,23,36M 47S
26,24,36M 40S
29,24,36M 0S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
31,24,35M 30S
31,26,34M 58S
33,26,34M 45S
33,28,34M 23S
35,28,34M 9S
35,30,33M 57S
36,30,33M 46S
38,30,33M 35S
41,30,33M 8S
41,32,32M 50S
41,34,31M 58S
42,34,31M 18S
43,34,31M 18S
43,36,29M 43S
44,36,29M 23S
45,36,29M 23S
45,37,28M 50S
45,38,28M 50S
45,41,28M 28S
47,41,27M 59S
48,41,27M 59S
50,41,27M 14S
52,41,26M 45S
52,42,26M 38S
52,43,26M 38S
52,45,26M 14S
55,45,25M 38S
55,47,24M 51S
55,49,24M 29S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
56,49,23M 39S
56,51,23M 25S
58,51,22M 32S
58,52,22M 27S
58,53,22M 27S
61,53,22M 16S
64,53,21M 45S
64,56,21M 26S
65,56,21M 17S
67,56,20M 47S
67,59,20M 36S
Jump ball: J. Brown vs. M. Brown (E. Fournier gains possession),NA,20M 21S
67,62,20M 6S
69,62,19M 45S
69,64,19M 20S
69,66,17M 49S
69,67,17M 49S
69,69,17M 15S
71,69,16M 59S
71,71,16M 19S
71,73,15M 48S
71,74,15M 48S
73,74,15M 21S
73,76,14M 52S
76,76,14M 41S
76,78,14M 22S
77,78,12M 4S
78,78,12M 4S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
80,78,11M 44S
80,79,11M 22S
80,81,10M 28S
81,81,10M 20S
81,83,10M 5S
84,83,9M 39S
87,83,9M 7S
87,85,8M 40S
90,85,8M 21S
90,88,8M 13S
90,89,7M 48S
90,90,7M 48S
90,91,7M 32S
93,91,7M 15S
95,91,6M 29S
97,91,6M 16S
97,93,5M 56S
97,95,5M 12S
98,95,4M 49S
99,95,4M 49S
100,95,4M 31S
101,95,4M 31S
104,95,2M 52S
106,95,2M 25S
Jump ball: J. Brown vs. I. Roby (K. Williams gains possession),NA,2M 14S
106,97,2M 0S
108,97,1M 45S
108,100,1M 32S
110,100,1M 8S
110,103,1M 1S
110,105,57S
110,106,47S
110,107,47S
112,107,38S
112,108,30S
112,109,30S
113,109,28S
114,109,28S
114,110,21S
114,111,21S
116,111,16S
Jump ball: T. Maledon vs. M. Smart (L. Dort gains possession),NA,7S
117,111,7S
117,114,5S
117,115,3S
118,115,2S
119,115,2S
End of 4th quarter,NA,0S
