Orlando,Charlotte,time_rem
21-46,33-34,48M 0S
0,3,47M 43S
0,6,47M 6S
2,6,46M 43S
5,6,46M 10S
5,9,45M 56S
7,9,45M 36S
7,11,44M 7S
7,12,44M 7S
9,12,43M 56S
9,14,43M 44S
12,14,43M 22S
12,15,41M 46S
14,15,41M 19S
16,15,40M 3S
16,18,39M 49S
19,18,39M 36S
19,20,39M 12S
19,22,38M 26S
21,22,38M 8S
23,22,37M 41S
25,22,37M 19S
25,24,37M 4S
27,24,36M 43S
29,24,36M 27S
29,26,36M 5S
31,26,36M 0S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
33,26,35M 40S
33,28,34M 54S
33,30,34M 28S
34,30,34M 15S
35,30,34M 15S
35,31,33M 59S
35,32,33M 59S
35,34,33M 26S
35,36,32M 47S
38,36,32M 20S
38,37,32M 8S
40,37,31M 31S
40,40,31M 1S
41,40,30M 21S
42,40,30M 21S
42,42,30M 3S
44,42,29M 44S
45,42,29M 11S
45,43,28M 49S
45,44,28M 49S
47,44,28M 0S
49,44,27M 45S
49,46,27M 35S
49,47,27M 15S
51,47,26M 59S
52,47,26M 40S
53,47,26M 40S
53,48,26M 29S
53,49,26M 29S
53,50,26M 29S
53,51,26M 16S
53,52,26M 16S
54,52,26M 5S
55,52,26M 5S
55,54,25M 53S
55,56,25M 22S
56,56,25M 15S
57,56,25M 15S
59,56,24M 57S
59,57,24M 45S
59,58,24M 45S
61,58,24M 29S
61,60,24M 6S
62,60,24M 1S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
63,60,23M 43S
63,62,23M 19S
65,62,22M 53S
65,64,22M 35S
68,64,22M 22S
68,66,22M 11S
69,66,21M 52S
70,66,21M 52S
70,68,21M 38S
73,68,21M 26S
73,70,21M 12S
73,72,20M 28S
73,74,19M 53S
73,77,18M 26S
75,77,18M 5S
Jump ball: J. McDaniels vs. C. Anthony (T. Rozier gains possession),NA,17M 44S
77,77,17M 29S
77,79,16M 45S
80,79,16M 28S
80,81,16M 12S
83,81,15M 59S
83,84,15M 49S
83,86,15M 7S
83,87,14M 21S
83,88,14M 21S
85,88,14M 9S
85,90,13M 40S
88,90,13M 21S
88,92,12M 59S
89,92,12M 45S
89,94,12M 25S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
89,96,11M 9S
90,96,10M 49S
90,97,9M 35S
92,97,9M 21S
92,99,9M 11S
92,102,8M 29S
94,102,8M 14S
96,102,7M 43S
96,104,7M 28S
98,104,6M 54S
98,106,6M 41S
100,106,6M 23S
101,106,5M 46S
101,108,5M 31S
101,110,4M 58S
101,111,4M 31S
102,111,4M 12S
102,114,3M 15S
102,115,2M 55S
104,115,2M 38S
106,115,2M 14S
106,117,1M 58S
107,117,1M 18S
108,117,1M 18S
110,117,54S
110,118,49S
110,119,49S
110,120,36S
110,121,36S
112,121,29S
112,122,22S
End of 4th quarter,NA,0S
