Chicago,Utah,time_rem
19-28,37-11,48M 0S
0,0,47M 48S
2,0,47M 42S
2,2,47M 20S
2,4,46M 16S
2,6,45M 52S
4,6,45M 3S
4,8,44M 29S
6,8,44M 25S
6,10,43M 45S
8,10,43M 32S
8,12,43M 16S
8,14,42M 36S
10,14,41M 53S
10,17,41M 46S
12,17,41M 15S
14,17,40M 53S
14,19,40M 34S
16,19,40M 11S
19,19,39M 42S
19,20,39M 17S
19,21,39M 17S
19,24,38M 49S
21,24,37M 47S
23,24,37M 22S
25,24,36M 43S
25,26,36M 4S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
27,26,35M 48S
28,26,35M 48S
28,28,35M 37S
30,28,34M 55S
30,31,34M 3S
31,31,33M 44S
31,34,33M 12S
31,35,32M 20S
31,36,32M 20S
33,36,32M 9S
35,36,31M 44S
36,36,31M 17S
37,36,31M 17S
39,36,30M 54S
41,36,30M 22S
41,37,30M 13S
41,38,30M 13S
43,38,29M 18S
43,40,29M 4S
43,41,28M 38S
43,42,28M 38S
45,42,28M 10S
45,43,27M 27S
45,44,27M 27S
45,45,27M 12S
45,46,27M 12S
45,49,26M 43S
47,49,26M 18S
47,50,26M 1S
47,53,25M 27S
47,56,24M 50S
47,58,24M 23S
48,58,24M 3S
49,58,24M 3S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
51,58,23M 37S
53,58,23M 0S
55,58,21M 56S
55,59,21M 38S
55,60,21M 38S
57,60,20M 56S
59,60,20M 27S
59,61,20M 6S
59,62,20M 6S
62,62,19M 55S
62,64,19M 37S
62,66,19M 10S
62,67,19M 10S
64,67,18M 57S
64,69,18M 8S
64,71,17M 13S
66,71,16M 52S
66,73,16M 41S
66,75,15M 55S
66,78,15M 28S
68,78,15M 2S
68,79,14M 40S
68,80,14M 40S
71,80,14M 30S
Jump ball: J. Clarkson vs. D. Theis (D. Mitchell gains possession),NA,13M 48S
71,83,13M 40S
73,83,12M 39S
73,86,12M 33S
73,88,12M 3S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
73,90,11M 44S
76,90,11M 25S
76,92,11M 2S
78,92,10M 44S
79,92,10M 19S
79,94,9M 54S
81,94,9M 32S
83,94,9M 7S
83,97,8M 43S
85,97,8M 3S
87,97,7M 33S
88,97,6M 59S
89,97,6M 59S
90,97,6M 40S
91,97,6M 40S
91,100,6M 22S
92,100,5M 54S
94,100,5M 24S
94,103,5M 0S
94,105,4M 19S
97,105,4M 4S
97,106,3M 25S
97,107,3M 25S
99,107,3M 15S
102,107,2M 54S
102,109,2M 32S
103,109,1M 35S
106,109,26S
106,110,13S
106,111,13S
106,112,8S
106,113,8S
End of 4th quarter,NA,0S
