Brooklyn,Toronto,time_rem
42-20,26-36,48M 0S
0,3,47M 46S
0,5,47M 14S
2,5,46M 58S
5,5,45M 52S
6,5,45M 22S
7,5,45M 22S
7,7,44M 49S
7,10,44M 12S
7,12,43M 49S
7,14,42M 36S
8,14,42M 23S
9,14,42M 23S
9,17,42M 12S
11,17,41M 55S
11,19,41M 40S
14,19,41M 28S
16,19,40M 52S
16,22,40M 35S
16,23,39M 12S
16,24,39M 12S
18,24,38M 57S
19,24,38M 57S
20,24,38M 22S
21,24,38M 22S
21,26,38M 1S
21,28,37M 0S
23,28,36M 52S
24,28,36M 52S
26,28,36M 19S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
26,30,35M 13S
26,33,34M 57S
29,33,34M 41S
32,33,33M 24S
32,35,32M 17S
35,35,32M 4S
35,37,31M 49S
35,38,31M 49S
36,38,31M 35S
37,38,31M 35S
39,38,29M 58S
40,38,29M 46S
41,38,29M 46S
43,38,29M 14S
43,41,28M 58S
45,41,28M 39S
48,41,28M 17S
48,42,27M 58S
48,43,27M 58S
48,44,27M 9S
51,44,26M 46S
51,45,26M 34S
51,46,26M 34S
54,46,26M 22S
54,48,25M 50S
55,48,25M 46S
56,48,25M 46S
56,50,25M 26S
56,51,25M 2S
56,52,25M 2S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
58,52,22M 56S
58,55,22M 38S
61,55,22M 24S
61,58,21M 20S
63,58,21M 3S
63,61,20M 47S
65,61,19M 10S
65,63,18M 42S
67,63,18M 21S
70,63,17M 43S
73,63,17M 1S
73,66,16M 46S
76,66,16M 23S
76,69,15M 57S
76,70,15M 37S
76,71,15M 37S
78,71,15M 30S
78,74,15M 11S
78,76,14M 49S
78,78,13M 15S
78,80,12M 49S
78,83,12M 26S
80,83,12M 0S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
80,85,11M 40S
82,85,11M 25S
84,85,10M 56S
84,86,10M 14S
84,87,10M 14S
84,89,9M 36S
84,90,9M 36S
87,90,9M 20S
90,90,8M 51S
90,92,8M 33S
93,92,8M 15S
95,92,7M 41S
97,92,7M 5S
100,92,6M 1S
100,95,5M 21S
102,95,4M 58S
102,96,4M 39S
104,96,4M 27S
105,96,3M 37S
106,96,3M 37S
106,99,2M 44S
108,99,2M 19S
108,101,2M 3S
111,101,1M 47S
111,103,1M 13S
112,103,1M 5S
113,103,1M 5S
116,103,36S
End of 4th quarter,NA,0S
