New York,New Orleans,time_rem
29-27,25-30,48M 0S
0,0,47M 37S
3,0,47M 28S
3,3,47M 7S
6,3,46M 21S
6,5,45M 35S
8,5,45M 19S
8,7,44M 19S
10,7,44M 11S
10,10,43M 55S
13,10,43M 38S
16,10,43M 4S
16,11,42M 49S
16,12,42M 49S
16,14,42M 14S
18,14,41M 28S
18,16,40M 21S
18,18,39M 34S
21,18,39M 14S
21,20,38M 56S
21,22,38M 36S
21,24,37M 36S
23,24,37M 1S
23,26,36M 44S
25,26,36M 31S
26,26,36M 31S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
29,26,35M 48S
29,28,35M 10S
31,28,34M 52S
31,29,34M 24S
31,30,34M 24S
33,30,34M 10S
36,30,33M 36S
39,30,33M 11S
40,30,32M 45S
40,32,32M 18S
42,32,31M 39S
42,34,31M 28S
45,34,30M 28S
45,36,30M 13S
47,36,29M 39S
47,39,29M 24S
47,41,28M 38S
47,43,27M 52S
49,43,27M 39S
51,43,27M 14S
51,44,26M 56S
51,46,26M 45S
51,48,26M 22S
51,50,25M 55S
53,50,24M 59S
53,52,24M 32S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
55,52,23M 42S
55,54,23M 30S
55,56,23M 2S
55,57,22M 44S
57,57,22M 27S
59,57,22M 3S
59,60,21M 49S
62,60,21M 25S
62,61,21M 21S
62,64,21M 13S
64,64,20M 52S
64,66,20M 42S
64,67,20M 42S
65,67,20M 34S
65,69,20M 23S
67,69,20M 4S
70,69,19M 40S
70,71,19M 21S
70,72,19M 2S
70,73,19M 2S
72,73,18M 30S
75,73,17M 51S
75,75,17M 29S
76,75,17M 11S
77,75,17M 11S
77,77,16M 45S
77,80,16M 19S
80,80,16M 0S
80,82,15M 38S
80,83,15M 12S
80,84,15M 12S
80,85,15M 12S
82,85,14M 44S
82,87,14M 34S
85,87,14M 21S
87,87,13M 55S
89,87,13M 11S
89,89,12M 47S
90,89,12M 31S
91,89,12M 31S
93,89,12M 1S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
95,89,10M 46S
96,89,10M 46S
96,90,10M 34S
99,90,10M 22S
99,91,10M 8S
99,92,8M 52S
99,93,8M 52S
101,93,8M 39S
104,93,8M 10S
104,95,7M 10S
104,96,6M 5S
104,97,6M 5S
106,97,5M 50S
107,97,5M 50S
107,99,5M 3S
107,101,4M 38S
109,101,3M 41S
109,103,2M 58S
112,103,2M 5S
112,105,1M 15S
112,106,1M 15S
114,106,1M 5S
115,106,34S
116,106,34S
End of 4th quarter,NA,0S
