Charlotte,Utah,time_rem
14-16,25-6,48M 0S
0,0,47M 44S
0,3,47M 21S
3,3,46M 46S
3,6,46M 24S
5,6,46M 8S
7,6,45M 37S
7,7,45M 25S
7,8,45M 25S
7,9,45M 25S
9,9,44M 59S
9,12,44M 50S
11,12,44M 32S
11,15,44M 18S
13,15,43M 35S
13,16,43M 11S
13,18,42M 39S
15,18,42M 17S
15,20,42M 11S
18,20,41M 59S
18,21,41M 41S
18,24,41M 20S
19,24,41M 8S
19,27,40M 57S
22,27,40M 47S
22,29,38M 40S
24,29,38M 33S
27,29,38M 6S
29,29,37M 33S
30,29,37M 33S
32,29,37M 8S
32,32,36M 39S
35,32,36M 32S
35,35,36M 12S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
37,35,35M 44S
37,36,35M 25S
37,37,35M 25S
39,37,35M 13S
39,38,34M 57S
39,39,34M 57S
39,42,34M 24S
39,44,33M 39S
41,44,33M 25S
42,44,32M 36S
43,44,32M 36S
43,47,32M 21S
44,47,31M 51S
45,47,31M 51S
47,47,31M 22S
49,47,30M 46S
49,50,30M 38S
51,50,29M 51S
51,53,29M 44S
52,53,29M 21S
53,53,29M 21S
53,55,29M 5S
56,55,28M 55S
56,57,28M 32S
59,57,27M 24S
59,59,27M 8S
61,59,26M 26S
63,59,25M 50S
65,59,25M 8S
66,59,24M 47S
67,59,24M 47S
67,61,24M 33S
67,64,24M 3S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
67,66,23M 31S
69,66,22M 58S
69,68,22M 38S
69,69,22M 38S
72,69,22M 17S
74,69,21M 54S
77,69,21M 25S
77,70,19M 48S
79,70,19M 36S
81,70,19M 3S
81,72,18M 50S
81,75,18M 11S
84,75,17M 54S
84,78,17M 40S
84,80,17M 0S
85,80,16M 51S
86,80,16M 51S
86,83,15M 17S
88,83,14M 26S
88,84,14M 1S
88,85,14M 1S
90,85,13M 46S
90,86,12M 57S
90,88,12M 50S
90,91,12M 26S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
90,93,11M 41S
90,96,11M 18S
92,96,10M 56S
92,99,10M 44S
92,102,10M 17S
92,105,9M 38S
92,108,8M 55S
92,111,8M 32S
93,111,8M 17S
94,111,8M 17S
94,113,8M 7S
96,113,7M 8S
98,113,6M 45S
101,113,5M 58S
101,116,4M 56S
102,116,4M 22S
102,119,4M 7S
102,121,3M 30S
102,124,2M 39S
104,124,2M 20S
104,127,1M 58S
106,127,1M 35S
106,129,1M 19S
107,129,1M 18S
108,129,1M 18S
110,129,53S
110,132,35S
End of 4th quarter,NA,0S
