San Antonio,Milwaukee,time_rem
22-17,27-14,48M 0S
0,0,47M 41S
2,0,47M 19S
2,2,47M 2S
4,2,46M 47S
4,4,45M 55S
7,4,45M 43S
7,7,45M 5S
9,7,44M 40S
11,7,44M 7S
11,10,43M 54S
11,12,43M 25S
13,12,42M 47S
15,12,41M 55S
15,14,41M 41S
17,14,41M 21S
17,16,41M 5S
19,16,40M 53S
21,16,40M 37S
21,17,40M 32S
23,17,40M 16S
23,19,40M 10S
23,21,39M 23S
26,21,38M 1S
26,23,37M 25S
29,23,37M 5S
29,26,36M 57S
31,26,36M 34S
33,26,36M 1S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
35,26,35M 22S
35,28,35M 3S
37,28,34M 44S
39,28,34M 17S
41,28,33M 54S
42,28,33M 54S
42,29,33M 44S
42,30,33M 44S
42,32,32M 41S
42,34,31M 38S
42,36,31M 10S
42,37,30M 41S
42,38,30M 41S
42,39,29M 5S
42,40,29M 5S
42,43,28M 45S
43,43,28M 8S
44,43,28M 8S
46,43,27M 25S
46,44,27M 11S
46,45,27M 11S
46,47,26M 49S
46,49,26M 20S
46,51,25M 41S
48,51,25M 27S
48,54,25M 15S
50,54,25M 0S
50,57,24M 0S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
50,59,23M 39S
53,59,23M 26S
53,61,23M 13S
55,61,22M 31S
57,61,22M 5S
57,62,21M 49S
57,63,21M 49S
57,65,21M 7S
59,65,20M 48S
59,67,20M 33S
61,67,20M 6S
61,69,19M 54S
64,69,19M 42S
66,69,18M 55S
66,70,18M 14S
66,71,18M 14S
69,71,18M 0S
69,73,17M 20S
72,73,17M 8S
72,75,16M 31S
72,77,15M 46S
74,77,15M 23S
74,80,15M 6S
75,80,14M 51S
76,80,14M 51S
78,80,14M 27S
78,83,14M 19S
80,83,13M 53S
82,83,13M 31S
84,83,12M 37S
84,85,12M 30S
84,86,12M 0S
84,87,12M 0S
84,88,12M 0S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
86,88,11M 12S
87,88,11M 12S
87,91,10M 24S
89,91,10M 1S
89,94,9M 50S
92,94,9M 27S
92,96,9M 7S
92,98,8M 32S
94,98,7M 50S
94,101,7M 27S
94,103,6M 51S
96,103,6M 31S
98,103,5M 57S
98,105,5M 42S
98,108,5M 17S
101,108,5M 4S
101,110,4M 43S
104,110,4M 25S
104,113,4M 10S
104,115,3M 37S
107,115,3M 22S
107,118,1M 55S
108,118,1M 43S
108,120,1M 27S
109,120,54S
110,120,54S
113,120,24S
End of 4th quarter,NA,0S
