Golden State,Miami,time_rem
23-25,25-24,48M 0S
0,0,48M 0S
0,3,47M 14S
0,6,46M 39S
0,8,45M 18S
2,8,44M 37S
2,9,44M 23S
2,10,44M 23S
4,10,43M 22S
4,12,43M 3S
4,14,41M 39S
5,14,41M 30S
6,14,41M 30S
9,14,40M 31S
9,15,40M 11S
9,16,40M 11S
11,16,39M 24S
14,16,38M 54S
14,17,38M 47S
14,18,38M 47S
16,18,38M 31S
16,19,38M 12S
18,19,37M 54S
21,19,37M 28S
22,19,37M 1S
23,19,37M 1S
24,19,37M 1S
24,20,36M 47S
24,21,36M 47S
24,23,36M 26S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
24,25,35M 49S
26,25,35M 12S
26,26,34M 58S
26,28,34M 32S
29,28,34M 13S
29,29,33M 24S
29,30,33M 24S
32,30,33M 4S
32,32,32M 44S
34,32,31M 36S
34,35,31M 23S
34,37,30M 49S
37,37,30M 0S
37,40,29M 41S
40,40,29M 12S
40,43,28M 49S
42,43,28M 43S
45,43,28M 20S
45,45,27M 57S
45,47,27M 33S
47,47,27M 11S
47,50,27M 4S
47,52,26M 4S
47,55,25M 40S
47,56,25M 40S
48,56,25M 27S
50,56,24M 58S
51,56,24M 58S
54,56,24M 35S
54,57,24M 3S
54,58,24M 3S
54,59,24M 3S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
54,61,22M 49S
56,61,22M 12S
56,63,21M 13S
58,63,20M 37S
60,63,20M 20S
62,63,19M 53S
65,63,19M 27S
65,65,19M 8S
65,67,18M 18S
67,67,18M 9S
68,67,18M 9S
68,69,17M 48S
68,72,17M 24S
71,72,17M 12S
71,75,16M 49S
73,75,16M 8S
73,76,15M 56S
73,77,15M 56S
75,77,15M 42S
75,79,15M 3S
75,81,14M 32S
75,83,14M 17S
75,86,13M 41S
Jump ball: K. Bazemore vs. D. Robinson (K. Looney gains possession),NA,13M 20S
77,86,13M 11S
78,86,12M 42S
79,86,12M 42S
80,86,12M 6S
81,86,12M 6S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
83,86,11M 38S
Jump ball: B. Adebayo vs. K. Looney (T. Herro gains possession),NA,10M 48S
83,88,10M 39S
86,88,9M 18S
86,90,8M 59S
86,93,8M 33S
86,94,8M 31S
86,95,7M 47S
86,96,7M 47S
86,98,7M 22S
88,98,7M 14S
88,101,6M 16S
91,101,5M 56S
91,103,5M 39S
92,103,5M 16S
93,103,5M 16S
93,106,4M 54S
94,106,4M 18S
95,106,4M 18S
96,106,3M 48S
97,106,3M 48S
98,106,3M 25S
98,108,3M 7S
100,108,2M 41S
100,109,2M 26S
100,110,2M 26S
100,112,1M 51S
100,113,1M 51S
103,113,1M 45S
106,113,1M 18S
106,115,52S
107,115,49S
108,115,49S
109,115,49S
109,116,10S
End of 4th quarter,NA,0S
