Dallas,New Orleans,time_rem
23-21,20-25,48M 0S
0,0,47M 43S
2,0,47M 28S
2,1,47M 16S
2,2,47M 16S
2,3,47M 16S
4,3,46M 58S
4,5,46M 22S
7,5,46M 7S
7,8,45M 52S
7,9,45M 21S
9,9,44M 33S
9,11,43M 48S
11,11,43M 32S
11,13,43M 18S
11,15,42M 32S
13,15,42M 2S
13,18,41M 43S
13,20,41M 0S
15,20,40M 8S
17,20,39M 46S
17,22,39M 20S
20,22,39M 3S
20,25,38M 43S
20,27,38M 9S
20,29,37M 32S
20,31,37M 3S
20,32,36M 43S
20,33,36M 43S
20,35,36M 9S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
23,35,35M 45S
23,37,35M 28S
24,37,35M 20S
25,37,35M 20S
28,37,33M 38S
28,39,32M 37S
30,39,32M 25S
30,40,31M 59S
30,41,31M 59S
30,44,31M 27S
33,44,31M 3S
35,44,30M 36S
37,44,30M 3S
39,44,29M 23S
41,44,28M 30S
43,44,27M 43S
45,44,27M 2S
46,44,26M 18S
47,44,26M 18S
47,46,26M 6S
48,46,25M 54S
49,46,25M 54S
49,49,25M 36S
51,49,25M 14S
51,51,25M 2S
53,51,24M 44S
53,53,24M 34S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
55,53,23M 19S
57,53,22M 48S
58,53,20M 50S
61,53,20M 44S
61,55,20M 28S
61,57,19M 56S
62,57,19M 43S
63,57,19M 43S
63,59,19M 23S
64,59,19M 4S
65,59,19M 4S
65,61,18M 42S
65,63,18M 5S
66,63,17M 48S
66,65,17M 33S
68,65,17M 11S
68,67,16M 53S
68,70,16M 12S
70,70,15M 50S
70,72,15M 33S
72,72,15M 16S
72,74,15M 2S
73,74,14M 43S
74,74,14M 9S
75,74,14M 9S
75,75,14M 1S
75,76,14M 1S
78,76,13M 17S
78,77,13M 7S
78,79,12M 38S
78,80,12M 4S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
78,83,11M 43S
78,84,10M 6S
79,84,9M 49S
79,86,9M 22S
79,87,8M 55S
82,87,8M 40S
82,89,8M 18S
84,89,8M 3S
84,91,7M 50S
87,91,7M 30S
89,91,6M 53S
91,91,6M 3S
92,91,5M 25S
93,91,5M 25S
Jump ball: S. Adams vs. B. Marjanović (B. Ingram gains possession),NA,5M 0S
93,92,4M 54S
93,94,4M 19S
95,94,3M 59S
95,95,3M 39S
95,96,3M 39S
95,98,3M 16S
95,100,2M 47S
95,103,2M 17S
98,103,2M 7S
98,105,1M 51S
100,105,1M 39S
100,107,1M 23S
100,110,1M 4S
102,110,35S
103,110,35S
103,111,34S
103,112,34S
End of 4th quarter,NA,0S
