New York,Milwaukee,time_rem
24-22,29-16,48M 0S
2,0,47M 37S
2,2,47M 22S
4,2,45M 54S
6,2,45M 12S
8,2,44M 45S
11,2,44M 17S
11,5,44M 4S
14,5,43M 51S
14,7,43M 17S
14,10,42M 44S
16,10,42M 25S
16,13,41M 32S
19,13,40M 37S
22,13,40M 18S
22,16,40M 2S
25,16,39M 20S
25,18,38M 41S
25,21,38M 18S
25,23,37M 36S
28,23,37M 29S
28,25,37M 3S
30,25,36M 50S
32,25,36M 30S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
32,27,35M 31S
32,28,35M 8S
32,29,35M 8S
32,30,35M 8S
32,33,34M 35S
34,33,33M 57S
35,33,33M 35S
35,35,33M 7S
37,35,32M 8S
37,37,31M 49S
39,37,31M 27S
39,39,31M 6S
41,39,30M 48S
41,41,30M 35S
43,41,30M 2S
45,41,29M 9S
45,42,28M 51S
48,42,28M 41S
48,45,28M 27S
50,45,27M 47S
50,48,27M 32S
53,48,27M 18S
55,48,26M 44S
55,51,26M 10S
57,51,25M 40S
57,52,25M 31S
57,53,24M 33S
57,54,24M 33S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
57,57,22M 47S
60,57,22M 33S
63,57,22M 11S
63,60,21M 53S
63,63,20M 17S
66,63,19M 57S
66,64,19M 45S
66,65,19M 45S
68,65,19M 26S
68,67,19M 18S
68,69,18M 17S
70,69,17M 51S
70,71,16M 54S
70,73,16M 8S
72,73,15M 17S
75,73,14M 41S
76,73,14M 7S
77,73,14M 7S
79,73,13M 38S
79,75,13M 18S
81,75,12M 44S
81,77,12M 33S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
84,77,11M 34S
87,77,10M 44S
87,79,10M 23S
90,79,9M 25S
90,81,9M 4S
92,81,8M 33S
92,83,8M 4S
92,85,7M 24S
94,85,6M 27S
94,86,6M 6S
94,89,4M 58S
94,91,2M 51S
96,91,2M 33S
96,94,2M 5S
96,96,1M 35S
99,96,1M 19S
100,96,8S
101,96,2S
102,96,2S
End of 4th quarter,NA,0S
