Detroit,Toronto,time_rem
10-25,17-18,48M 0S
Jump ball: M. Plumlee vs. T. Davis (S. Mykhailiuk gains possession),NA,47M 40S
0,0,47M 37S
0,3,47M 21S
0,6,46M 33S
0,8,46M 7S
3,8,45M 55S
3,10,45M 41S
3,11,45M 41S
3,13,45M 11S
6,13,45M 1S
6,14,44M 45S
6,15,44M 45S
9,15,44M 18S
9,17,44M 1S
12,17,43M 37S
15,17,43M 18S
17,17,42M 40S
18,17,42M 40S
18,19,42M 14S
21,19,41M 56S
23,19,41M 27S
25,19,40M 56S
25,20,40M 50S
25,21,40M 50S
25,22,40M 17S
25,23,40M 17S
25,24,40M 17S
28,24,40M 3S
28,26,39M 50S
31,26,39M 29S
31,29,39M 20S
31,30,39M 6S
31,33,38M 45S
33,33,38M 23S
34,33,38M 23S
34,35,38M 9S
36,35,37M 47S
36,36,37M 41S
36,37,37M 41S
39,37,37M 30S
41,37,37M 3S
43,37,36M 34S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
46,37,34M 30S
47,37,34M 30S
49,37,34M 6S
51,37,33M 22S
51,38,33M 4S
51,39,33M 4S
53,39,32M 16S
53,42,31M 16S
53,44,30M 48S
55,44,30M 27S
56,44,30M 27S
56,46,30M 10S
58,46,29M 55S
58,49,29M 20S
61,49,28M 59S
63,49,28M 37S
63,51,28M 23S
63,52,26M 59S
63,53,26M 59S
65,53,26M 24S
67,53,25M 47S
67,54,25M 37S
67,55,25M 37S
67,56,25M 19S
67,57,25M 19S
68,57,24M 37S
69,57,24M 37S
69,60,24M 31S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
69,62,23M 5S
69,64,22M 40S
72,64,21M 57S
75,64,20M 49S
76,64,20M 14S
78,64,19M 18S
78,66,18M 56S
81,66,18M 7S
84,66,17M 24S
84,69,17M 3S
84,71,16M 25S
86,71,15M 32S
86,74,15M 14S
86,75,14M 50S
89,75,14M 34S
90,75,14M 15S
91,75,13M 53S
94,75,13M 34S
96,75,12M 32S
96,77,12M 17S
98,77,12M 3S
98,80,12M 0S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
100,80,11M 54S
101,80,11M 54S
101,83,11M 37S
103,83,11M 20S
103,85,11M 10S
103,87,10M 33S
103,89,9M 38S
106,89,9M 15S
106,91,8M 58S
109,91,8M 42S
111,91,8M 0S
114,91,6M 41S
114,92,6M 25S
114,93,6M 25S
116,93,5M 46S
116,96,5M 28S
118,96,4M 42S
118,97,4M 20S
118,98,4M 20S
120,98,3M 43S
120,100,3M 35S
122,100,3M 19S
122,101,3M 12S
124,101,2M 48S
125,101,2M 14S
125,103,1M 34S
127,103,1M 22S
128,103,53S
129,103,53S
129,105,16S
End of 4th quarter,NA,0S
