Miami,Brooklyn,time_rem
6-9,10-8,48M 0S
0,0,47M 37S
0,3,47M 31S
0,6,47M 9S
2,6,46M 44S
2,9,46M 11S
2,11,45M 47S
5,11,44M 55S
6,11,44M 15S
6,13,43M 55S
9,13,43M 44S
9,16,43M 27S
9,17,42M 26S
9,18,42M 26S
12,18,42M 11S
12,20,41M 57S
12,23,41M 3S
14,23,40M 49S
15,23,40M 49S
16,23,40M 34S
17,23,40M 34S
19,23,40M 9S
19,26,39M 3S
20,26,38M 45S
21,26,38M 45S
21,29,38M 35S
21,31,38M 5S
23,31,37M 25S
24,31,37M 1S
25,31,37M 1S
25,33,36M 47S
25,34,36M 0S
25,35,36M 0S
25,36,36M 0S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
28,36,35M 23S
31,36,34M 51S
31,37,34M 3S
31,38,34M 3S
32,38,33M 54S
32,41,33M 41S
32,44,32M 45S
34,44,32M 18S
34,46,31M 53S
36,46,31M 42S
36,48,31M 29S
36,50,31M 3S
Jump ball: B. Adebayo vs. D. Jordan (D. Robinson gains possession),NA,30M 22S
38,50,30M 12S
38,51,29M 58S
38,52,29M 58S
40,52,29M 37S
40,55,29M 16S
40,57,28M 43S
42,57,27M 32S
42,58,27M 8S
42,59,27M 8S
42,60,26M 28S
44,60,26M 4S
46,60,25M 40S
46,62,25M 22S
48,62,25M 4S
48,63,24M 50S
48,64,24M 50S
49,64,24M 38S
50,64,24M 38S
50,66,24M 32S
53,66,24M 13S
56,66,24M 0S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
58,66,23M 23S
60,66,22M 50S
60,68,22M 20S
62,68,22M 0S
62,71,21M 42S
62,74,21M 19S
64,74,19M 51S
64,76,19M 39S
64,78,19M 17S
67,78,19M 2S
69,78,18M 24S
69,80,18M 12S
71,80,18M 1S
71,82,17M 47S
72,82,17M 34S
73,82,17M 34S
73,85,16M 51S
75,85,16M 33S
75,88,16M 19S
76,88,16M 7S
77,88,16M 7S
77,90,15M 50S
78,90,15M 16S
79,90,15M 16S
79,93,13M 8S
80,93,12M 31S
80,96,12M 9S
82,96,12M 0S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
85,96,11M 41S
88,96,11M 6S
90,96,10M 41S
91,96,10M 41S
93,96,10M 20S
95,96,9M 27S
95,99,9M 16S
95,101,8M 45S
95,102,8M 45S
95,104,8M 25S
97,104,8M 12S
98,104,7M 13S
99,104,7M 13S
102,104,6M 36S
102,106,6M 18S
104,106,6M 1S
104,109,5M 48S
106,109,5M 29S
106,111,5M 9S
107,111,4M 26S
110,111,3M 23S
110,113,2M 41S
112,113,1M 55S
112,116,1M 41S
112,118,1M 8S
112,120,51S
114,120,43S
114,122,29S
116,122,25S
117,122,25S
117,123,24S
120,123,17S
120,124,15S
120,125,15S
121,125,8S
122,125,8S
123,125,8S
123,126,7S
124,126,3S
124,127,2S
124,128,2S
End of 4th quarter,NA,0S
