Indiana,Phoenix,time_rem
17-20,25-12,48M 0S
0,2,47M 39S
3,2,47M 25S
3,4,47M 7S
5,4,46M 41S
6,4,46M 41S
6,6,46M 16S
8,6,45M 12S
8,8,44M 21S
11,8,44M 1S
11,10,43M 25S
13,10,43M 1S
13,12,42M 53S
15,12,42M 13S
15,14,42M 3S
17,14,41M 54S
17,15,40M 53S
17,16,40M 53S
17,19,40M 31S
20,19,40M 18S
20,22,40M 6S
23,22,39M 49S
23,25,39M 24S
25,25,39M 4S
25,27,38M 43S
26,27,38M 2S
27,27,38M 2S
27,29,37M 44S
Jump ball: G. Bitadze vs. D. Šarić (T. McConnell gains possession),NA,37M 27S
27,31,37M 9S
27,32,36M 41S
27,33,36M 41S
29,33,36M 32S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
31,33,35M 12S
33,33,34M 55S
35,33,34M 32S
38,33,34M 12S
40,33,33M 55S
41,33,33M 24S
41,36,33M 9S
41,39,32M 48S
44,39,32M 27S
45,39,32M 12S
46,39,32M 12S
46,41,31M 57S
46,43,31M 32S
48,43,31M 2S
48,45,30M 32S
48,48,30M 6S
51,48,29M 50S
51,50,29M 34S
53,50,29M 25S
55,50,29M 5S
55,52,27M 13S
57,52,27M 1S
60,52,26M 33S
60,54,26M 5S
61,54,25M 56S
61,56,25M 43S
61,57,24M 27S
62,57,24M 8S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
64,57,23M 46S
64,59,22M 42S
66,59,22M 13S
69,59,21M 48S
69,61,21M 38S
71,61,21M 18S
71,63,20M 41S
71,66,20M 16S
73,66,19M 18S
73,68,18M 53S
73,69,18M 14S
73,70,18M 14S
75,70,17M 57S
77,70,17M 38S
80,70,17M 17S
83,70,16M 3S
85,70,15M 42S
85,73,15M 34S
87,73,15M 19S
89,73,14M 50S
91,73,14M 7S
92,73,14M 7S
94,73,13M 8S
94,75,12M 57S
95,75,12M 49S
95,76,12M 34S
95,77,12M 34S
97,77,12M 17S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
97,79,11M 45S
99,79,10M 29S
99,82,10M 16S
99,84,9M 40S
99,85,9M 40S
102,85,9M 24S
104,85,8M 47S
104,86,8M 20S
104,87,8M 20S
104,89,7M 38S
104,91,7M 5S
104,93,6M 21S
106,93,6M 2S
109,93,5M 30S
109,96,5M 15S
111,96,5M 1S
111,99,4M 53S
111,102,3M 58S
113,102,3M 42S
115,102,3M 10S
115,103,2M 53S
116,103,2M 21S
116,105,1M 27S
116,107,1M 1S
117,107,59S
118,107,59S
119,107,30S
120,107,30S
120,109,24S
121,109,21S
122,109,21S
122,111,6S
End of 4th quarter,NA,0S
