Brooklyn,Toronto,time_rem
39-20,25-34,48M 0S
0,0,47M 43S
0,1,47M 36S
0,2,47M 36S
3,2,47M 22S
6,2,46M 44S
6,4,46M 32S
8,4,46M 19S
11,4,45M 57S
13,4,45M 43S
13,5,44M 11S
13,7,43M 47S
15,7,43M 37S
15,8,43M 24S
15,9,43M 24S
18,9,43M 4S
18,11,42M 21S
19,11,41M 19S
19,14,40M 52S
21,14,40M 41S
21,17,40M 29S
23,17,40M 10S
23,19,40M 0S
25,19,39M 13S
25,21,39M 8S
28,21,38M 57S
31,21,38M 25S
34,21,37M 51S
34,23,37M 31S
36,23,37M 10S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
36,24,35M 44S
36,25,35M 44S
36,28,35M 10S
38,28,34M 51S
40,28,34M 18S
Jump ball: G. Trent vs. J. Harris (F. Gillespie gains possession),NA,33M 13S
40,30,32M 57S
41,30,32M 43S
41,32,31M 57S
42,32,31M 35S
42,34,30M 45S
45,34,30M 31S
45,36,30M 8S
48,36,29M 56S
48,38,29M 12S
48,39,29M 12S
50,39,28M 37S
51,39,28M 37S
51,42,28M 13S
51,45,27M 39S
53,45,26M 39S
53,46,26M 15S
53,47,26M 15S
55,47,26M 1S
55,50,25M 43S
56,50,25M 28S
56,53,25M 12S
58,53,24M 48S
58,56,24M 36S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
58,57,23M 42S
60,57,23M 28S
60,58,23M 14S
60,59,23M 14S
62,59,22M 53S
62,61,22M 48S
62,64,22M 29S
62,66,22M 6S
62,68,21M 32S
64,68,21M 19S
65,68,20M 55S
65,71,20M 44S
65,74,19M 52S
65,76,19M 24S
68,76,19M 9S
68,79,19M 1S
70,79,18M 37S
70,82,18M 22S
71,82,18M 9S
72,82,18M 9S
72,85,17M 56S
72,87,17M 18S
72,90,15M 53S
74,90,15M 3S
76,90,14M 21S
78,90,13M 49S
78,92,13M 18S
81,92,12M 35S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
84,92,11M 45S
85,92,10M 35S
86,92,10M 35S
86,94,10M 15S
86,97,9M 43S
89,97,9M 27S
89,98,8M 47S
89,99,8M 47S
89,102,8M 21S
89,104,7M 37S
91,104,6M 17S
92,104,5M 52S
93,104,5M 52S
93,106,4M 48S
94,106,4M 10S
95,106,4M 10S
96,106,3M 47S
97,106,3M 47S
99,106,3M 28S
100,106,3M 1S
101,106,3M 1S
101,107,2M 19S
101,108,1M 39S
101,109,1M 39S
101,111,1M 13S
103,111,1M 2S
103,114,39S
End of 4th quarter,NA,0S
