LA Clippers,Phoenix,time_rem
2-3,3-2,48M 0S
0,0,47M 44S
3,0,47M 33S
5,0,47M 6S
7,0,46M 45S
7,3,46M 12S
9,3,45M 46S
11,3,45M 12S
13,3,44M 52S
14,3,44M 52S
14,5,44M 39S
16,5,43M 55S
18,5,43M 28S
20,5,42M 59S
20,7,42M 34S
20,10,41M 58S
22,10,41M 42S
22,12,41M 29S
25,12,41M 13S
25,13,40M 59S
25,14,40M 59S
25,15,40M 59S
25,18,40M 9S
25,21,39M 12S
27,21,38M 59S
30,21,38M 30S
30,24,38M 18S
31,24,38M 7S
32,24,38M 7S
32,26,37M 5S
34,26,36M 28S
36,26,36M 0S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
38,26,35M 21S
38,28,35M 10S
40,28,34M 54S
40,30,34M 30S
42,30,34M 13S
44,30,33M 55S
44,32,33M 43S
44,34,33M 16S
44,35,33M 16S
44,37,32M 16S
44,38,31M 42S
44,39,31M 42S
44,42,31M 18S
46,42,30M 57S
48,42,30M 9S
48,44,29M 51S
50,44,29M 32S
50,47,28M 22S
52,47,27M 55S
52,49,27M 11S
54,49,26M 23S
57,49,25M 11S
58,49,24M 41S
59,49,24M 41S
59,52,24M 0S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
59,54,23M 25S
59,56,22M 31S
61,56,21M 51S
61,58,21M 29S
61,60,20M 56S
61,62,20M 27S
63,62,20M 7S
64,62,20M 7S
65,62,19M 21S
67,62,18M 55S
69,62,18M 25S
70,62,18M 1S
71,62,18M 1S
71,63,17M 53S
71,64,17M 53S
71,65,17M 53S
71,67,17M 36S
73,67,17M 13S
76,67,16M 51S
79,67,16M 21S
79,70,16M 7S
82,70,15M 53S
82,72,15M 35S
82,74,15M 8S
82,75,14M 42S
82,76,14M 42S
84,76,14M 30S
84,77,14M 11S
84,78,14M 11S
86,78,13M 19S
89,78,12M 47S
91,78,12M 12S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
91,80,11M 43S
91,81,11M 43S
93,81,11M 25S
93,83,11M 14S
95,83,10M 53S
96,83,10M 53S
96,85,10M 40S
96,87,9M 54S
96,89,9M 19S
96,91,8M 42S
98,91,8M 26S
98,93,6M 58S
98,94,6M 58S
101,94,6M 34S
103,94,5M 56S
103,96,5M 31S
106,96,5M 11S
108,96,4M 47S
109,96,4M 17S
110,96,4M 17S
112,96,4M 3S
112,98,3M 42S
112,99,3M 20S
112,100,3M 20S
113,100,3M 5S
114,100,3M 5S
114,102,53S
116,102,34S
End of 4th quarter,NA,0S
