Charlotte,Toronto,time_rem
6-7,3-8,48M 0S
0,0,47M 35S
0,2,47M 21S
2,2,46M 51S
4,2,45M 49S
4,5,45M 30S
6,5,44M 56S
8,5,44M 10S
8,8,43M 59S
8,11,43M 23S
11,11,42M 59S
12,11,42M 30S
13,11,42M 30S
15,11,41M 55S
15,13,41M 41S
17,13,41M 27S
17,15,41M 11S
17,17,40M 47S
19,17,40M 34S
19,18,40M 27S
20,18,40M 16S
21,18,40M 16S
21,21,40M 5S
23,21,39M 58S
26,21,39M 31S
26,22,39M 10S
26,23,39M 10S
28,23,38M 58S
31,23,38M 5S
31,26,37M 52S
31,29,37M 21S
31,32,36M 31S
34,32,36M 11S
34,35,36M 0S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
36,35,35M 35S
36,38,35M 24S
36,40,34M 56S
36,41,34M 25S
36,42,34M 25S
36,44,34M 0S
38,44,33M 33S
40,44,32M 50S
40,46,32M 43S
40,48,32M 11S
40,51,31M 11S
40,52,30M 53S
40,53,30M 53S
42,53,30M 43S
42,55,30M 25S
42,57,29M 28S
45,57,29M 9S
47,57,28M 54S
50,57,28M 7S
50,60,27M 54S
53,60,27M 15S
53,61,26M 50S
53,62,26M 50S
56,62,26M 33S
59,62,26M 16S
59,65,25M 55S
60,65,25M 39S
60,67,24M 44S
60,68,24M 44S
61,68,24M 25S
62,68,24M 25S
62,71,24M 2S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
62,74,23M 42S
65,74,22M 51S
65,76,22M 40S
67,76,22M 0S
69,76,21M 34S
69,78,21M 17S
72,78,20M 33S
72,81,20M 13S
72,83,18M 51S
74,83,18M 41S
76,83,18M 9S
76,86,17M 57S
77,86,17M 40S
77,89,17M 1S
79,89,16M 45S
79,92,15M 58S
79,94,15M 44S
79,97,14M 29S
82,97,13M 41S
84,97,13M 8S
86,97,12M 50S
86,99,12M 28S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
88,99,11M 44S
91,99,10M 38S
93,99,9M 58S
94,99,8M 21S
94,101,7M 15S
94,104,6M 46S
94,105,5M 45S
96,105,5M 25S
99,105,4M 27S
99,107,3M 38S
101,107,3M 8S
101,109,2M 16S
104,109,1M 56S
106,109,1M 37S
106,111,58S
108,111,43S
End of 4th quarter,NA,0S
