Golden State,Dallas,time_rem
12-10,9-14,48M 0S
0,0,47M 43S
0,2,47M 23S
2,2,46M 41S
5,2,46M 7S
5,4,45M 44S
5,5,45M 13S
5,8,44M 50S
5,11,44M 22S
7,11,44M 0S
8,11,44M 0S
10,11,43M 47S
11,11,43M 47S
14,11,43M 24S
16,11,42M 58S
16,14,42M 35S
16,16,42M 2S
19,16,41M 43S
21,16,41M 3S
24,16,40M 39S
24,18,40M 16S
24,21,39M 17S
27,21,39M 0S
27,22,38M 37S
27,23,38M 37S
27,24,38M 11S
28,24,38M 1S
29,24,38M 1S
30,24,38M 1S
30,25,37M 53S
30,26,37M 53S
33,26,37M 45S
33,28,37M 29S
33,31,37M 7S
34,31,37M 5S
34,34,36M 32S
36,34,36M 14S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
36,35,35M 37S
36,36,35M 37S
36,39,35M 12S
36,42,33M 1S
39,42,32M 45S
42,42,32M 18S
42,45,32M 0S
44,45,31M 31S
44,46,31M 9S
44,47,31M 9S
47,47,30M 42S
47,50,30M 19S
48,50,30M 3S
50,50,29M 59S
50,52,29M 41S
52,52,29M 27S
53,52,29M 27S
53,55,29M 15S
56,55,29M 6S
56,58,28M 52S
56,61,28M 25S
56,64,27M 59S
58,64,27M 46S
59,64,27M 46S
59,66,27M 34S
61,66,27M 17S
62,66,26M 51S
63,66,26M 51S
63,68,26M 40S
65,68,26M 26S
65,69,26M 11S
65,70,26M 11S
67,70,25M 42S
68,70,25M 42S
69,70,25M 24S
70,70,24M 43S
71,70,24M 43S
71,71,24M 35S
71,72,24M 35S
71,73,24M 35S
74,73,24M 22S
74,76,24M 1S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
76,76,23M 46S
76,79,23M 25S
78,79,21M 59S
81,79,21M 29S
81,82,21M 15S
83,82,21M 1S
83,85,20M 44S
85,85,20M 7S
87,85,19M 36S
87,87,19M 17S
89,87,19M 4S
89,89,18M 47S
91,89,18M 33S
92,89,18M 7S
93,89,18M 7S
93,91,17M 52S
95,91,17M 36S
95,93,17M 26S
98,93,17M 16S
99,93,16M 43S
100,93,16M 43S
102,93,15M 42S
102,95,15M 13S
104,95,14M 44S
106,95,14M 19S
107,95,14M 19S
110,95,13M 39S
110,96,12M 0S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
110,98,10M 55S
112,98,10M 27S
112,101,10M 7S
114,101,9M 50S
115,101,9M 30S
116,101,9M 30S
119,101,8M 35S
119,102,7M 42S
119,103,7M 42S
122,103,7M 27S
124,103,7M 0S
127,103,6M 29S
130,103,6M 8S
130,105,5M 52S
130,107,5M 19S
133,107,4M 53S
133,108,4M 14S
133,109,4M 14S
135,109,3M 35S
135,112,3M 17S
137,112,2M 42S
140,112,2M 11S
143,112,1M 50S
146,112,1M 23S
146,114,1M 14S
147,114,36S
147,116,25S
End of 4th quarter,NA,0S
