Boston,Chicago,time_rem
10-6,7-10,48M 0S
2,0,47M 47S
2,3,47M 27S
2,6,47M 1S
5,6,46M 14S
5,8,45M 53S
7,8,45M 45S
9,8,45M 19S
11,8,44M 51S
14,8,44M 29S
16,8,43M 48S
16,11,43M 26S
17,11,43M 17S
18,11,43M 17S
19,11,43M 17S
19,12,43M 5S
21,12,42M 46S
21,13,41M 53S
21,15,41M 29S
22,15,40M 51S
24,15,40M 33S
24,17,39M 59S
26,17,39M 47S
26,19,39M 32S
28,19,39M 19S
28,21,38M 43S
30,21,37M 59S
30,23,37M 19S
30,25,36M 44S
33,25,36M 30S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
33,28,34M 49S
33,31,34M 26S
35,31,33M 59S
37,31,33M 21S
37,33,31M 48S
40,33,31M 14S
42,33,30M 49S
42,35,30M 30S
44,35,29M 11S
44,38,28M 39S
45,38,28M 29S
46,38,28M 29S
46,40,28M 12S
46,43,27M 47S
48,43,27M 29S
51,43,27M 8S
53,43,26M 44S
54,43,26M 44S
54,46,26M 31S
54,48,24M 56S
55,48,24M 39S
56,48,24M 39S
56,50,24M 32S
58,50,24M 29S
60,50,24M 2S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
62,50,23M 27S
64,50,23M 13S
67,50,22M 32S
69,50,21M 39S
71,50,21M 12S
71,52,21M 0S
74,52,20M 47S
74,54,19M 38S
74,57,19M 13S
77,57,18M 47S
77,60,18M 29S
79,60,18M 11S
79,62,17M 59S
79,65,17M 32S
79,67,17M 8S
82,67,15M 56S
82,69,15M 44S
84,69,15M 28S
84,71,15M 7S
86,71,14M 51S
86,74,14M 31S
89,74,13M 35S
89,76,13M 20S
91,76,13M 6S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
93,76,11M 36S
93,78,11M 4S
93,81,10M 22S
94,81,10M 5S
94,83,9M 46S
94,85,9M 2S
97,85,8M 48S
100,85,8M 22S
102,85,7M 22S
104,85,6M 57S
104,87,6M 40S
107,87,5M 55S
108,87,5M 55S
108,89,5M 37S
108,92,4M 51S
108,95,4M 21S
108,98,3M 54S
111,98,3M 37S
112,98,2M 48S
112,101,1M 52S
113,101,1M 28S
114,101,1M 11S
115,101,1M 11S
118,101,40S
119,101,40S
119,102,32S
119,103,32S
End of 4th quarter,NA,0S
