Charlotte,Minnesota,time_rem
17-18,7-29,48M 0S
0,2,47M 45S
2,2,47M 17S
2,3,47M 4S
2,4,47M 4S
4,4,46M 50S
4,6,46M 20S
6,6,46M 4S
6,8,45M 44S
6,11,45M 21S
7,11,45M 10S
8,11,45M 10S
8,13,45M 4S
8,14,45M 4S
10,14,44M 53S
10,16,44M 44S
10,18,44M 22S
10,21,43M 28S
12,21,42M 49S
14,21,42M 11S
14,23,41M 55S
17,23,41M 47S
19,23,40M 49S
20,23,40M 33S
21,23,40M 33S
23,23,39M 35S
23,25,39M 24S
25,25,39M 16S
25,26,39M 1S
25,27,39M 1S
25,29,38M 7S
26,29,38M 1S
26,30,37M 44S
27,30,37M 33S
28,30,37M 33S
28,33,37M 22S
30,33,37M 11S
33,33,36M 38S
36,33,36M 1S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
36,36,34M 31S
39,36,34M 4S
39,37,33M 51S
39,38,33M 51S
39,40,33M 36S
39,42,33M 17S
41,42,32M 57S
43,42,31M 17S
46,42,30M 10S
48,42,29M 37S
50,42,29M 11S
50,44,28M 45S
52,44,28M 33S
52,47,28M 3S
54,47,27M 4S
55,47,27M 4S
55,49,26M 51S
56,49,25M 34S
58,49,25M 26S
58,51,25M 4S
60,51,24M 47S
60,54,24M 34S
62,54,24M 10S
62,55,24M 0S
62,56,24M 0S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
62,58,23M 2S
65,58,22M 45S
65,61,22M 18S
68,61,22M 7S
68,63,21M 50S
71,63,21M 12S
71,65,20M 46S
73,65,20M 31S
76,65,20M 18S
79,65,19M 43S
81,65,18M 49S
82,65,18M 49S
84,65,18M 13S
86,65,17M 40S
89,65,17M 13S
89,67,16M 55S
91,67,16M 40S
91,69,16M 28S
93,69,16M 7S
93,70,15M 50S
93,72,15M 42S
93,74,15M 0S
95,74,14M 49S
95,76,14M 18S
96,76,12M 59S
97,76,12M 27S
98,76,12M 27S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
98,78,11M 16S
100,78,11M 6S
103,78,10M 36S
105,78,10M 13S
107,78,9M 39S
110,78,9M 1S
113,78,8M 32S
113,80,8M 19S
116,80,7M 53S
118,80,7M 19S
118,82,7M 10S
120,82,6M 49S
120,85,6M 34S
122,85,6M 16S
122,88,5M 32S
122,90,4M 55S
122,91,4M 37S
122,92,4M 37S
124,92,4M 18S
124,93,4M 4S
124,94,4M 4S
124,96,3M 0S
125,96,2M 28S
126,96,2M 28S
128,96,2M 4S
129,96,1M 35S
129,98,1M 25S
132,98,52S
132,100,42S
135,100,28S
135,102,12S
End of 4th quarter,NA,0S
