Boston,LA Lakers,time_rem
30-26,34-22,48M 0S
0,0,47M 52S
2,0,47M 39S
5,0,46M 52S
7,0,46M 18S
7,2,46M 4S
9,2,45M 18S
11,2,44M 31S
13,2,44M 0S
14,2,44M 0S
14,4,43M 25S
16,4,42M 57S
18,4,42M 37S
18,7,42M 25S
21,7,41M 57S
21,9,41M 39S
21,11,40M 57S
22,11,40M 41S
23,11,40M 41S
23,13,40M 28S
25,13,40M 15S
25,15,39M 59S
28,15,39M 43S
28,17,39M 26S
29,17,38M 18S
29,19,38M 2S
29,21,37M 40S
31,21,36M 5S
31,22,36M 2S
31,23,36M 2S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
31,25,35M 42S
34,25,35M 26S
34,27,35M 10S
34,29,34M 39S
36,29,34M 0S
36,31,33M 44S
38,31,31M 48S
38,34,31M 1S
40,34,30M 46S
40,36,29M 29S
42,36,28M 37S
44,36,28M 19S
44,38,28M 9S
46,38,27M 28S
46,41,27M 11S
49,41,26M 36S
49,42,26M 24S
51,42,26M 7S
52,42,26M 7S
55,42,25M 29S
55,43,25M 14S
55,44,25M 14S
57,44,25M 7S
57,46,24M 50S
59,46,24M 36S
59,47,24M 27S
59,48,24M 27S
61,48,24M 3S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
61,50,23M 20S
63,50,22M 12S
63,52,21M 53S
65,52,21M 42S
65,55,20M 36S
67,55,20M 26S
67,58,20M 15S
67,60,19M 21S
69,60,19M 1S
69,63,18M 49S
72,63,18M 25S
72,64,18M 4S
75,64,17M 44S
75,66,17M 14S
77,66,16M 56S
77,69,16M 43S
80,69,16M 24S
82,69,15M 57S
82,72,15M 32S
82,75,15M 5S
85,75,14M 43S
87,75,13M 53S
87,77,13M 36S
87,79,13M 14S
89,79,13M 0S
90,79,12M 24S
91,79,12M 24S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
94,79,11M 39S
96,79,11M 12S
99,79,10M 43S
101,79,10M 11S
101,81,9M 52S
104,81,9M 35S
105,81,9M 13S
106,81,9M 13S
106,83,8M 55S
106,84,8M 55S
109,84,8M 36S
111,84,8M 13S
111,86,7M 42S
113,86,7M 1S
113,89,6M 46S
113,91,5M 29S
113,94,5M 2S
113,96,4M 41S
115,96,4M 26S
115,98,3M 48S
115,99,3M 48S
115,102,3M 29S
115,103,3M 9S
115,105,2M 37S
115,107,2M 15S
115,108,1M 50S
Jump ball: K. Antetokounmpo vs. G. Williams (L. Kornet gains possession),NA,1M 25S
115,110,1M 18S
117,110,1M 0S
117,112,43S
119,112,32S
119,113,22S
120,113,17S
121,113,17S
End of 4th quarter,NA,0S
