Indiana,Atlanta,time_rem
14-13,11-15,48M 0S
0,0,47M 44S
0,2,47M 3S
2,2,46M 49S
2,4,45M 46S
4,4,45M 19S
5,4,44M 36S
6,4,44M 36S
6,6,44M 22S
9,6,44M 7S
9,8,43M 48S
11,8,43M 28S
12,8,43M 28S
12,11,43M 18S
12,13,42M 56S
14,13,42M 26S
14,15,41M 39S
16,15,41M 30S
16,17,40M 40S
16,19,40M 14S
18,19,39M 50S
18,21,39M 25S
20,21,39M 12S
22,21,38M 30S
22,24,37M 32S
24,24,37M 21S
26,24,36M 45S
27,24,36M 45S
27,25,36M 0S
27,26,36M 0S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
29,26,35M 42S
29,28,35M 30S
31,28,34M 52S
31,30,34M 33S
33,30,33M 49S
33,32,33M 31S
35,32,33M 23S
36,32,33M 23S
36,34,33M 3S
38,34,32M 28S
38,36,32M 10S
40,36,32M 2S
43,36,31M 51S
43,38,31M 40S
46,38,31M 32S
48,38,30M 35S
48,41,29M 29S
48,42,29M 10S
48,43,29M 10S
51,43,28M 56S
51,45,28M 27S
51,47,28M 4S
53,47,27M 54S
53,49,27M 44S
53,50,27M 44S
53,52,27M 12S
55,52,26M 46S
57,52,26M 29S
60,52,25M 57S
60,54,25M 42S
Jump ball: J. Collins vs. M. Turner (T. Young gains possession),NA,25M 12S
62,54,24M 46S
62,55,24M 34S
62,56,24M 34S
62,58,24M 7S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
62,59,23M 33S
62,60,23M 33S
64,60,23M 18S
64,62,23M 0S
64,65,22M 22S
67,65,22M 6S
67,67,21M 51S
67,68,21M 36S
67,69,21M 36S
70,69,21M 23S
70,71,20M 42S
71,71,20M 19S
72,71,20M 19S
72,73,20M 10S
72,75,19M 31S
72,77,18M 58S
74,77,18M 49S
74,80,18M 34S
74,82,18M 6S
75,82,17M 55S
76,82,17M 55S
76,83,15M 37S
76,84,15M 37S
78,84,15M 13S
81,84,14M 50S
83,84,14M 22S
83,86,13M 26S
84,86,13M 4S
84,87,12M 56S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
84,89,11M 31S
84,91,10M 47S
86,91,10M 27S
86,94,10M 16S
87,94,9M 46S
87,95,9M 33S
87,96,9M 33S
89,96,9M 23S
91,96,9M 5S
91,98,8M 42S
92,98,8M 29S
93,98,8M 29S
96,98,8M 4S
96,100,7M 46S
99,100,7M 23S
101,100,6M 46S
101,103,6M 29S
103,103,6M 8S
104,103,5M 34S
105,103,5M 34S
105,105,5M 12S
107,105,4M 55S
109,105,4M 45S
111,105,4M 12S
114,105,3M 44S
115,105,3M 3S
116,105,3M 3S
117,105,2M 41S
118,105,2M 41S
118,108,2M 35S
118,109,2M 11S
119,109,1M 49S
120,109,1M 49S
121,109,1M 37S
122,109,1M 37S
125,109,1M 6S
125,112,55S
125,113,37S
End of 4th quarter,NA,0S
