Brooklyn,Milwaukee,time_rem
43-22,40-24,48M 0S
0,2,47M 42S
2,2,47M 27S
3,2,47M 2S
4,2,47M 2S
4,4,46M 42S
6,4,46M 18S
6,6,45M 8S
8,6,44M 52S
9,6,44M 52S
9,8,44M 41S
11,8,44M 4S
11,11,43M 51S
13,11,43M 33S
16,11,43M 8S
18,11,42M 45S
19,11,42M 45S
19,14,42M 34S
19,16,41M 59S
22,16,41M 42S
22,18,41M 12S
24,18,40M 53S
24,20,40M 44S
26,20,40M 31S
26,21,39M 40S
28,21,39M 13S
29,21,39M 13S
32,21,38M 29S
32,23,37M 57S
35,23,37M 26S
36,23,36M 52S
37,23,36M 52S
37,25,36M 33S
37,28,36M 3S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
37,30,35M 4S
37,33,33M 48S
37,34,33M 26S
39,34,32M 48S
42,34,32M 21S
42,36,32M 1S
44,36,31M 40S
44,38,31M 3S
44,40,30M 41S
46,40,30M 21S
46,42,30M 4S
46,44,29M 43S
47,44,29M 0S
50,44,28M 43S
50,46,28M 27S
50,49,27M 59S
52,49,27M 39S
52,52,27M 20S
53,52,27M 1S
54,52,27M 1S
54,54,26M 46S
54,57,26M 25S
54,59,25M 55S
56,59,25M 21S
56,62,24M 33S
59,62,24M 23S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
61,62,23M 47S
61,65,23M 34S
63,65,22M 40S
64,65,22M 40S
64,67,22M 28S
64,69,21M 43S
67,69,21M 29S
67,72,21M 19S
67,74,20M 14S
69,74,19M 42S
71,74,19M 20S
71,76,19M 0S
74,76,18M 30S
74,78,18M 12S
74,81,17M 49S
Jump ball: G. Antetokounmpo vs. L. Shamet (P. Connaughton gains possession),NA,17M 34S
76,81,17M 14S
79,81,16M 27S
79,83,16M 11S
81,83,15M 55S
81,84,15M 55S
81,86,15M 5S
83,86,14M 29S
84,86,14M 29S
87,86,13M 30S
87,88,13M 16S
90,88,12M 55S
Jump ball: B. Lopez vs. J. Harris (G. Antetokounmpo gains possession),NA,12M 40S
90,90,12M 35S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
93,90,11M 1S
96,90,10M 31S
96,92,10M 13S
96,95,9M 18S
96,96,9M 18S
96,98,7M 57S
96,101,7M 29S
99,101,7M 20S
99,104,7M 8S
99,105,6M 36S
99,106,6M 36S
101,106,6M 2S
101,108,5M 40S
103,108,5M 19S
104,108,4M 55S
104,110,4M 35S
107,110,4M 24S
107,113,3M 51S
108,113,2M 55S
109,113,2M 55S
109,115,2M 18S
112,115,1M 53S
112,117,1M 12S
114,117,57S
End of 4th quarter,NA,0S
