Denver,Brooklyn,time_rem
5-6,6-6,48M 0S
0,0,47M 47S
2,0,47M 26S
2,2,46M 24S
2,4,46M 7S
5,4,45M 49S
5,6,45M 34S
7,6,45M 19S
10,6,44M 48S
10,8,44M 37S
12,8,44M 21S
12,10,44M 6S
14,10,43M 26S
14,12,42M 52S
14,13,42M 52S
17,13,42M 43S
17,15,41M 18S
19,15,40M 33S
21,15,39M 48S
23,15,39M 25S
23,17,39M 2S
26,17,38M 32S
26,18,38M 3S
26,19,38M 3S
26,22,37M 39S
29,22,37M 28S
29,24,37M 8S
31,24,36M 40S
31,27,36M 32S
32,27,36M 15S
33,27,36M 15S
34,27,36M 0S
35,27,36M 0S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
35,30,35M 33S
38,30,35M 21S
41,30,34M 58S
41,32,34M 44S
43,32,34M 21S
44,32,34M 2S
46,32,33M 42S
46,34,32M 46S
48,34,32M 22S
48,36,32M 10S
49,36,31M 55S
49,37,31M 35S
49,38,31M 35S
51,38,30M 45S
51,41,30M 29S
54,41,30M 9S
54,42,29M 53S
54,43,29M 53S
54,45,29M 31S
55,45,29M 16S
56,45,29M 16S
56,48,28M 29S
58,48,28M 16S
58,50,28M 2S
60,50,27M 20S
61,50,26M 43S
62,50,26M 43S
62,52,26M 30S
64,52,26M 4S
64,54,25M 16S
67,54,25M 2S
70,54,24M 14S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
72,54,23M 39S
72,56,23M 17S
74,56,23M 2S
74,58,22M 45S
76,58,22M 32S
76,61,22M 14S
79,61,21M 56S
79,64,21M 41S
79,66,21M 19S
79,69,20M 46S
81,69,20M 21S
81,71,19M 42S
83,71,19M 28S
83,74,19M 14S
83,76,18M 49S
83,79,18M 28S
83,81,17M 55S
83,84,17M 7S
83,86,16M 5S
83,88,15M 29S
83,90,14M 36S
85,90,14M 19S
87,90,12M 53S
90,90,12M 1S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
90,93,11M 45S
93,93,11M 4S
93,96,10M 53S
93,97,10M 21S
96,97,9M 29S
96,99,9M 16S
96,102,8M 21S
99,102,7M 57S
99,104,7M 31S
102,104,6M 48S
102,107,6M 33S
105,107,6M 0S
107,107,5M 22S
109,107,4M 2S
109,109,3M 47S
111,109,3M 25S
111,111,3M 2S
113,111,2M 40S
113,113,2M 16S
113,115,1M 44S
113,117,1M 14S
113,120,27S
113,121,18S
116,121,13S
116,122,11S
End of 4th quarter,NA,0S
