Memphis,Utah,time_rem
1-0,0-1,48M 0S
2,0,47M 40S
2,3,47M 17S
4,3,47M 2S
4,6,46M 55S
4,8,46M 28S
6,8,45M 24S
6,9,45M 14S
8,9,45M 2S
10,9,44M 10S
10,11,43M 48S
12,11,43M 33S
12,12,43M 12S
12,13,43M 12S
12,14,43M 12S
14,14,41M 15S
16,14,40M 25S
17,14,40M 25S
17,16,39M 2S
17,17,38M 43S
17,18,38M 43S
17,20,37M 52S
17,22,36M 39S
17,24,36M 4S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
17,27,35M 47S
Jump ball: J. Jackson vs. R. Gobert (T. Jones gains possession),NA,35M 11S
17,28,34M 15S
17,29,34M 15S
19,29,33M 2S
21,29,32M 25S
21,31,32M 13S
21,32,31M 53S
21,33,31M 53S
21,34,31M 53S
22,34,30M 46S
22,36,30M 30S
24,36,30M 14S
27,36,29M 39S
30,36,29M 5S
30,38,28M 48S
32,38,28M 33S
33,38,28M 9S
34,38,28M 9S
36,38,28M 5S
39,38,26M 40S
39,41,26M 25S
40,41,26M 10S
43,41,25M 43S
45,41,25M 2S
45,42,24M 50S
45,43,24M 50S
47,43,24M 31S
48,43,24M 1S
49,43,24M 1S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
51,43,23M 34S
53,43,23M 7S
53,46,22M 51S
53,47,22M 25S
53,48,22M 25S
53,50,21M 33S
54,50,21M 15S
56,50,20M 30S
56,53,19M 38S
58,53,19M 19S
58,55,19M 9S
59,55,18M 50S
60,55,18M 50S
60,56,18M 38S
60,57,18M 38S
60,59,18M 17S
62,59,18M 1S
64,59,17M 45S
66,59,17M 16S
68,59,16M 54S
70,59,16M 11S
70,60,16M 11S
70,62,15M 58S
70,64,15M 27S
72,64,15M 17S
73,64,15M 7S
74,64,15M 7S
74,66,14M 50S
76,66,14M 38S
76,68,14M 24S
78,68,14M 8S
78,69,13M 39S
78,72,12M 45S
80,72,12M 30S
80,74,12M 8S
83,74,12M 0S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
86,74,11M 45S
86,76,11M 30S
88,76,11M 2S
88,77,10M 48S
90,77,10M 34S
91,77,10M 10S
92,77,10M 10S
94,77,9M 41S
94,80,9M 27S
94,82,8M 56S
97,82,8M 24S
97,85,7M 40S
97,86,6M 56S
97,87,6M 56S
97,89,5M 57S
99,89,5M 31S
99,90,5M 14S
101,90,4M 59S
101,93,4M 44S
102,93,4M 25S
102,96,4M 12S
104,96,3M 52S
104,98,3M 37S
106,98,2M 30S
106,101,2M 14S
108,101,1M 54S
108,103,1M 34S
108,104,1M 34S
110,104,45S
110,105,32S
110,106,32S
110,107,32S
110,108,6S
110,109,6S
112,109,4S
End of 4th quarter,NA,0S
