Indiana,Brooklyn,time_rem
12-13,15-12,48M 0S
0,2,47M 34S
1,2,47M 1S
4,2,45M 41S
4,4,45M 6S
6,4,44M 50S
6,5,44M 35S
6,6,44M 35S
6,8,43M 21S
6,10,42M 46S
6,11,41M 58S
6,12,41M 58S
6,14,41M 2S
8,14,40M 49S
8,15,40M 35S
8,16,40M 35S
11,16,39M 44S
11,18,39M 19S
14,18,38M 58S
14,20,38M 20S
14,21,38M 1S
14,22,38M 1S
16,22,37M 44S
16,24,37M 29S
16,25,37M 14S
18,25,36M 42S
18,26,36M 11S
18,27,36M 11S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
20,27,35M 2S
20,29,33M 29S
22,29,33M 11S
22,32,32M 47S
25,32,32M 39S
25,35,32M 17S
25,36,31M 13S
25,37,31M 13S
25,39,30M 39S
25,40,30M 12S
25,41,30M 12S
25,44,29M 42S
25,45,29M 8S
25,47,28M 40S
26,47,28M 36S
27,47,28M 36S
27,49,28M 22S
27,50,27M 42S
27,51,27M 42S
29,51,27M 0S
29,53,26M 42S
29,55,26M 14S
30,55,25M 56S
30,58,25M 40S
30,59,25M 14S
30,60,25M 14S
30,61,24M 50S
30,62,24M 50S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
33,62,23M 5S
33,65,22M 47S
33,68,22M 12S
33,69,21M 41S
36,69,21M 8S
38,69,20M 46S
41,69,20M 18S
41,71,19M 26S
43,71,19M 8S
46,71,18M 31S
46,74,18M 4S
49,74,17M 45S
49,76,17M 30S
52,76,17M 13S
54,76,15M 56S
56,76,15M 20S
58,76,14M 53S
60,76,14M 12S
62,76,13M 17S
62,78,12M 59S
Jump ball: D. Jordan vs. D. Sabonis (J. Green gains possession),NA,12M 41S
62,80,12M 30S
62,82,12M 2S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
64,82,11M 14S
64,84,10M 23S
66,84,10M 0S
68,84,9M 33S
68,87,9M 9S
70,87,8M 42S
72,87,8M 20S
72,89,7M 56S
72,91,7M 35S
73,91,7M 24S
74,91,7M 24S
74,94,7M 1S
77,94,6M 14S
80,94,5M 42S
80,95,5M 24S
80,96,5M 24S
80,97,4M 24S
80,98,4M 24S
80,99,3M 58S
80,100,3M 58S
83,100,3M 44S
83,102,3M 18S
85,102,3M 7S
85,103,2M 41S
85,104,2M 41S
88,104,2M 23S
91,104,1M 46S
93,104,24S
94,104,24S
End of 4th quarter,NA,0S
