Cleveland,Sacramento,time_rem
17-29,21-25,48M 0S
0,0,47M 35S
1,0,47M 15S
3,0,46M 41S
3,2,46M 28S
6,2,46M 18S
8,2,45M 52S
8,4,44M 52S
11,4,44M 36S
11,6,44M 25S
11,8,44M 0S
13,8,43M 42S
15,8,43M 20S
15,11,43M 15S
17,11,42M 54S
17,13,42M 44S
19,13,42M 32S
19,15,42M 25S
19,17,42M 0S
19,19,41M 32S
19,22,40M 41S
19,24,39M 35S
22,24,38M 29S
22,26,37M 50S
24,26,37M 30S
24,28,37M 13S
27,28,36M 56S
27,30,36M 36S
27,31,36M 36S
29,31,36M 12S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
32,31,34M 41S
34,31,34M 20S
34,33,33M 59S
34,34,33M 30S
36,34,33M 7S
36,36,31M 33S
39,36,31M 17S
39,38,30M 11S
41,38,29M 17S
41,39,29M 2S
41,40,29M 2S
42,40,28M 15S
43,40,28M 15S
43,42,28M 4S
43,44,27M 16S
43,45,27M 16S
44,45,26M 17S
44,46,26M 2S
44,47,26M 2S
46,47,25M 39S
48,47,25M 22S
48,49,25M 6S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
49,49,23M 41S
51,49,23M 25S
52,49,23M 25S
52,51,23M 14S
54,51,22M 55S
54,53,22M 0S
56,53,21M 12S
58,53,20M 36S
58,55,20M 19S
58,58,19M 45S
58,60,19M 6S
60,60,18M 50S
60,62,18M 7S
62,62,17M 14S
62,64,16M 53S
64,64,16M 4S
64,65,14M 53S
64,68,14M 14S
66,68,13M 37S
66,69,13M 18S
69,69,13M 0S
70,69,13M 0S
71,69,12M 36S
72,69,12M 36S
72,71,12M 16S
73,71,12M 2S
74,71,12M 2S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
77,71,11M 39S
79,71,11M 4S
79,74,10M 47S
80,74,10M 25S
80,76,9M 53S
80,79,8M 40S
83,79,8M 20S
83,81,7M 39S
85,81,7M 14S
85,83,6M 33S
85,85,6M 9S
87,85,5M 57S
87,87,5M 39S
89,87,5M 17S
90,87,4M 36S
90,89,3M 56S
92,89,2M 53S
94,89,1M 58S
94,91,1M 11S
94,92,1M 11S
95,92,53S
95,94,45S
96,94,11S
96,96,6S
96,97,6S
98,97,0S
98,100,0S
End of 4th quarter,NA,0S
