Milwaukee,Brooklyn,time_rem
0-2,2-0,48M 0S
0,0,47M 47S
0,3,47M 27S
0,4,46M 25S
2,4,45M 55S
2,6,45M 26S
5,6,45M 7S
5,7,44M 53S
5,8,44M 53S
7,8,44M 41S
7,10,43M 47S
7,12,43M 24S
7,13,43M 24S
10,13,42M 19S
10,15,41M 44S
10,17,41M 9S
13,17,40M 45S
13,19,40M 29S
13,22,39M 47S
15,22,39M 24S
15,25,39M 11S
15,27,38M 47S
17,27,38M 29S
17,29,37M 43S
17,31,37M 12S
19,31,36M 56S
19,33,36M 39S
19,36,36M 2S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
19,38,35M 50S
19,40,35M 22S
21,40,35M 3S
21,43,34M 10S
23,43,33M 51S
25,43,33M 26S
25,45,33M 2S
27,45,32M 43S
27,47,32M 30S
29,47,31M 43S
29,50,31M 25S
31,50,30M 43S
31,52,30M 24S
33,52,29M 42S
33,54,29M 23S
33,57,28M 58S
33,60,27M 4S
35,60,26M 35S
38,60,25M 51S
38,63,25M 10S
38,65,24M 33S
41,65,24M 29S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
41,68,23M 38S
43,68,23M 24S
44,68,23M 24S
44,71,22M 45S
46,71,22M 35S
46,74,22M 21S
48,74,22M 8S
50,74,21M 29S
53,74,21M 6S
53,76,20M 41S
53,78,20M 3S
56,78,19M 49S
56,81,19M 35S
58,81,18M 34S
60,81,17M 30S
60,83,16M 13S
60,85,15M 31S
62,85,15M 17S
64,85,14M 41S
64,87,13M 49S
64,90,13M 12S
64,93,12M 37S
65,93,12M 27S
65,95,12M 4S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
65,97,11M 23S
68,97,11M 4S
70,97,9M 40S
70,100,9M 22S
70,103,9M 4S
72,103,8M 46S
72,105,8M 6S
74,105,7M 54S
74,108,7M 21S
74,110,6M 52S
74,112,6M 16S
74,115,5M 32S
74,118,5M 5S
74,119,4M 38S
74,120,4M 38S
74,123,4M 28S
76,123,3M 39S
78,123,3M 5S
80,123,3M 1S
82,123,2M 6S
82,125,1M 23S
83,125,1M 14S
84,125,1M 14S
86,125,35S
End of 4th quarter,NA,0S
