San Antonio,Philadelphia,time_rem
19-16,27-12,48M 0S
0,0,47M 44S
3,0,47M 12S
3,2,46M 59S
5,2,46M 44S
5,5,46M 36S
5,7,46M 7S
7,7,45M 52S
7,10,44M 59S
9,10,44M 20S
9,12,44M 9S
11,12,43M 42S
11,15,43M 30S
14,15,43M 10S
14,17,42M 32S
14,19,42M 5S
14,22,41M 7S
16,22,40M 54S
18,22,40M 33S
18,24,39M 58S
18,26,39M 33S
20,26,39M 9S
20,28,38M 56S
22,28,37M 27S
22,30,36M 46S
22,33,36M 20S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
22,35,35M 31S
23,35,35M 28S
24,35,35M 28S
24,37,35M 10S
26,37,34M 39S
26,39,34M 26S
28,39,33M 57S
29,39,33M 21S
30,39,33M 21S
32,39,32M 59S
33,39,32M 31S
34,39,32M 31S
34,41,32M 22S
36,41,32M 2S
36,43,31M 42S
38,43,31M 11S
38,45,30M 55S
40,45,30M 46S
41,45,30M 46S
41,47,30M 15S
42,47,29M 59S
42,49,29M 32S
45,49,29M 21S
45,51,28M 5S
45,52,27M 29S
48,52,27M 8S
48,54,26M 51S
48,56,26M 4S
49,56,25M 55S
50,56,25M 55S
50,58,25M 42S
50,60,24M 12S
51,60,24M 1S
52,60,24M 1S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
52,62,23M 44S
53,62,23M 27S
53,64,23M 4S
53,67,22M 36S
55,67,22M 10S
55,70,22M 1S
57,70,21M 33S
57,72,21M 19S
59,72,21M 5S
60,72,20M 25S
61,72,20M 25S
61,73,20M 8S
61,74,20M 8S
63,74,19M 57S
63,76,19M 48S
63,78,19M 14S
63,80,18M 39S
63,83,18M 6S
65,83,17M 47S
65,86,17M 36S
65,88,17M 2S
65,90,16M 21S
67,90,16M 5S
67,92,15M 49S
69,92,15M 32S
69,93,15M 20S
69,95,15M 0S
69,97,14M 28S
69,100,13M 44S
69,102,13M 20S
71,102,13M 4S
71,104,12M 50S
71,105,12M 16S
71,106,12M 16S
73,106,12M 2S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
73,109,11M 25S
73,112,11M 6S
74,112,10M 41S
75,112,10M 41S
75,114,10M 24S
77,114,10M 10S
78,114,10M 10S
78,117,9M 57S
78,120,9M 31S
80,120,9M 17S
82,120,8M 22S
83,120,7M 28S
83,122,7M 14S
85,122,6M 56S
85,125,6M 34S
86,125,6M 22S
87,125,6M 22S
87,127,6M 5S
88,127,5M 44S
88,128,5M 24S
90,128,5M 9S
92,128,4M 42S
93,128,4M 42S
93,130,3M 40S
95,130,3M 24S
97,130,2M 12S
97,132,1M 50S
99,132,1M 9S
99,134,26S
End of 4th quarter,NA,0S
