Indiana,Charlotte,time_rem
11-7,7-11,48M 0S
0,0,47M 39S
0,3,47M 21S
0,6,45M 52S
3,6,45M 33S
3,8,45M 15S
3,10,44M 38S
6,10,44M 27S
8,10,43M 54S
8,13,43M 28S
11,13,43M 8S
13,13,42M 32S
16,13,42M 16S
16,15,42M 4S
19,15,41M 53S
21,15,41M 9S
23,15,40M 8S
26,15,39M 35S
28,15,38M 55S
30,15,37M 53S
32,15,37M 34S
32,17,37M 21S
32,19,36M 57S
33,19,36M 43S
34,19,36M 43S
36,19,36M 1S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
36,20,35M 17S
36,23,34M 45S
36,25,34M 23S
38,25,34M 4S
38,27,33M 50S
40,27,33M 27S
40,30,33M 0S
40,32,32M 29S
40,35,31M 52S
42,35,30M 23S
42,38,30M 13S
42,39,29M 48S
42,40,29M 48S
42,42,29M 21S
44,42,29M 5S
44,43,28M 56S
44,44,28M 56S
44,46,28M 21S
47,46,28M 4S
49,46,27M 45S
49,49,27M 26S
52,49,26M 49S
54,49,26M 5S
54,50,25M 48S
54,51,25M 48S
54,52,25M 28S
54,53,25M 28S
54,55,25M 0S
55,55,24M 46S
56,55,24M 36S
59,55,24M 2S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
59,57,23M 26S
62,57,22M 36S
62,58,22M 24S
62,59,21M 41S
62,60,21M 41S
62,62,21M 17S
62,65,20M 48S
63,65,20M 35S
63,67,20M 14S
65,67,19M 13S
67,67,18M 2S
70,67,17M 31S
71,67,17M 0S
72,67,17M 0S
74,67,16M 39S
74,70,16M 26S
77,70,15M 18S
77,73,15M 0S
79,73,14M 31S
79,74,14M 10S
79,75,14M 10S
79,78,13M 37S
82,78,12M 58S
84,78,12M 26S
84,80,12M 0S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
84,83,11M 26S
86,83,11M 7S
87,83,11M 7S
90,83,10M 33S
91,83,10M 7S
92,83,10M 7S
92,85,9M 7S
94,85,8M 54S
94,87,8M 32S
94,89,8M 11S
94,90,8M 11S
94,92,7M 45S
96,92,7M 31S
99,92,7M 4S
99,94,6M 42S
101,94,6M 21S
101,96,6M 1S
103,96,5M 44S
105,96,5M 10S
105,98,4M 54S
108,98,4M 34S
110,98,4M 8S
110,100,3M 43S
112,100,3M 3S
112,102,2M 26S
114,102,2M 3S
114,103,1M 15S
114,104,1M 15S
114,105,48S
114,106,48S
116,106,30S
End of 4th quarter,NA,0S
